repayment_id,account_id,borrower_id,month_number,emi_due,payment_status,days_late
RPY000081,LA03596,BOR06412,10,29665.06,On-Time,0
RPY000082,LA03596,BOR06412,11,29665.06,On-Time,0
RPY000083,LA04434,BOR04691,1,2928.22,On-Time,0
RPY000084,LA04434,BOR04691,2,2928.22,On-Time,0
RPY000085,LA04434,BOR04691,3,2928.22,On-Time,0
RPY000086,LA03359,BOR00331,1,10226.92,On-Time,0
RPY000087,LA03359,BOR00331,2,10226.92,Late,51
RPY000088,LA03359,BOR00331,3,10226.92,Late,16
RPY000089,LA03359,BOR00331,4,10226.92,Late,31
RPY000090,LA03359,BOR00331,5,10226.92,On-Time,0
RPY000091,LA03359,BOR00331,6,10226.92,Late,56
RPY000092,LA03359,BOR00331,7,10226.92,Late,18
RPY000093,LA03359,BOR00331,8,10226.92,On-Time,0
RPY000094,LA03359,BOR00331,9,10226.92,Late,58
RPY000095,LA03359,BOR00331,10,10226.92,On-Time,0
RPY000096,LA03359,BOR00331,11,10226.92,On-Time,0
RPY000097,LA03359,BOR00331,12,10226.92,On-Time,0
RPY000098,LA02704,BOR07272,1,33776.37,On-Time,0
RPY000099,LA02704,BOR07272,2,33776.37,On-Time,0
RPY000100,LA02704,BOR07272,3,33776.37,On-Time,0
RPY000101,LA02704,BOR07272,4,33776.37,On-Time,0
RPY000102,LA02704,BOR07272,5,33776.37,On-Time,0
RPY000103,LA02704,BOR07272,6,33776.37,On-Time,0
RPY000104,LA02704,BOR07272,7,33776.37,On-Time,0
RPY000105,LA01154,BOR09369,1,2414.25,On-Time,0
RPY000106,LA01154,BOR09369,2,2414.25,On-Time,0
RPY000107,LA01154,BOR09369,3,2414.25,On-Time,0
RPY000108,LA01154,BOR09369,4,2414.25,On-Time,0
RPY000109,LA01154,BOR09369,5,2414.25,On-Time,0
RPY000110,LA01154,BOR09369,6,2414.25,On-Time,0
RPY000111,LA01154,BOR09369,7,2414.25,On-Time,0
RPY000112,LA01154,BOR09369,8,2414.25,On-Time,0
RPY000113,LA01154,BOR09369,9,2414.25,On-Time,0
RPY000114,LA01154,BOR09369,10,2414.25,Late,47
RPY000115,LA05272,BOR01776,1,74303.32,On-Time,0
RPY000116,LA05272,BOR01776,2,74303.32,On-Time,0
RPY000117,LA05272,BOR01776,3,74303.32,On-Time,0
RPY000118,LA05272,BOR01776,4,74303.32,On-Time,0
RPY000119,LA05272,BOR01776,5,74303.32,On-Time,0
RPY000120,LA05272,BOR01776,6,74303.32,On-Time,0
RPY000121,LA05272,BOR01776,7,74303.32,On-Time,0
RPY000122,LA05272,BOR01776,8,74303.32,On-Time,0
RPY000123,LA05272,BOR01776,9,74303.32,On-Time,0
RPY000124,LA05272,BOR01776,10,74303.32,On-Time,0
RPY000125,LA05272,BOR01776,11,74303.32,On-Time,0
RPY000126,LA05272,BOR01776,12,74303.32,On-Time,0
RPY000127,LA01874,BOR03896,1,3127.15,On-Time,0
RPY000128,LA01874,BOR03896,2,3127.15,On-Time,0
RPY000129,LA01874,BOR03896,3,3127.15,On-Time,0
RPY000130,LA01874,BOR03896,4,3127.15,Late,24
RPY000131,LA01874,BOR03896,5,3127.15,On-Time,0
RPY000132,LA01874,BOR03896,6,3127.15,On-Time,0
RPY000133,LA01874,BOR03896,7,3127.15,On-Time,0
RPY000134,LA05039,BOR00632,1,52433.56,On-Time,0
RPY000135,LA05039,BOR00632,2,52433.56,On-Time,0
RPY000136,LA05039,BOR00632,3,52433.56,On-Time,0
RPY000137,LA04654,BOR08465,1,38340.51,On-Time,0
RPY000138,LA04654,BOR08465,2,38340.51,On-Time,0
RPY000139,LA04654,BOR08465,3,38340.51,On-Time,0
RPY000140,LA04654,BOR08465,4,38340.51,On-Time,0
RPY000141,LA04654,BOR08465,5,38340.51,On-Time,0
RPY000142,LA04654,BOR08465,6,38340.51,Late,46
RPY000143,LA04654,BOR08465,7,38340.51,On-Time,0
RPY000144,LA04654,BOR08465,8,38340.51,On-Time,0
RPY000145,LA04654,BOR08465,9,38340.51,Late,58
RPY000146,LA05790,BOR01183,1,42758.45,On-Time,0
RPY000147,LA05790,BOR01183,2,42758.45,On-Time,0
RPY000148,LA05790,BOR01183,3,42758.45,On-Time,0
RPY000149,LA02538,BOR03254,1,36456.09,On-Time,0
RPY000150,LA02538,BOR03254,2,36456.09,On-Time,0
RPY000151,LA02538,BOR03254,3,36456.09,On-Time,0
RPY000152,LA04376,BOR01823,1,945.72,On-Time,0
RPY000153,LA04376,BOR01823,2,945.72,On-Time,0
RPY000154,LA04376,BOR01823,3,945.72,Late,54
RPY000155,LA04376,BOR01823,4,945.72,On-Time,0
RPY000156,LA04376,BOR01823,5,945.72,Late,39
RPY000157,LA04376,BOR01823,6,945.72,On-Time,0
RPY000158,LA04376,BOR01823,7,945.72,On-Time,0
RPY000159,LA04376,BOR01823,8,945.72,On-Time,0
RPY000160,LA04376,BOR01823,9,945.72,On-Time,0
RPY000161,LA04376,BOR01823,10,945.72,On-Time,0
RPY000162,LA04376,BOR01823,11,945.72,On-Time,0
RPY000163,LA04376,BOR01823,12,945.72,Late,32
RPY000164,LA03702,BOR02758,1,13264.91,On-Time,0
RPY000165,LA03702,BOR02758,2,13264.91,Late,8
RPY000166,LA03702,BOR02758,3,13264.91,On-Time,0
RPY000167,LA03702,BOR02758,4,13264.91,On-Time,0
RPY000168,LA01936,BOR06704,1,7266.96,On-Time,0
RPY000169,LA01936,BOR06704,2,7266.96,On-Time,0
RPY000170,LA01936,BOR06704,3,7266.96,On-Time,0
RPY000171,LA01936,BOR06704,4,7266.96,On-Time,0
RPY000172,LA01936,BOR06704,5,7266.96,Late,48
RPY000173,LA01936,BOR06704,6,7266.96,On-Time,0
RPY000174,LA01936,BOR06704,7,7266.96,Late,30
RPY000175,LA03320,BOR08596,1,17470.94,On-Time,0
RPY000176,LA03320,BOR08596,2,17470.94,On-Time,0
RPY000177,LA03320,BOR08596,3,17470.94,Late,58
RPY000178,LA03320,BOR08596,4,17470.94,Late,20
RPY000179,LA03320,BOR08596,5,17470.94,On-Time,0
RPY000180,LA03320,BOR08596,6,17470.94,On-Time,0
RPY000181,LA03320,BOR08596,7,17470.94,Late,33
RPY000182,LA03320,BOR08596,8,17470.94,Late,59
RPY000183,LA03320,BOR08596,9,17470.94,Late,60
RPY000184,LA03320,BOR08596,10,17470.94,Late,49
RPY000185,LA03320,BOR08596,11,17470.94,On-Time,0
RPY000186,LA03320,BOR08596,12,17470.94,On-Time,0
RPY000187,LA00146,BOR07356,1,31687.26,On-Time,0
RPY000188,LA00146,BOR07356,2,31687.26,On-Time,0
RPY000189,LA00146,BOR07356,3,31687.26,On-Time,0
RPY000190,LA00146,BOR07356,4,31687.26,On-Time,0
RPY000191,LA00146,BOR07356,5,31687.26,On-Time,0
RPY000192,LA00146,BOR07356,6,31687.26,On-Time,0
RPY000193,LA05508,BOR04804,1,627.73,On-Time,0
RPY000194,LA05508,BOR04804,2,627.73,On-Time,0
RPY000195,LA05508,BOR04804,3,627.73,On-Time,0
RPY000196,LA05508,BOR04804,4,627.73,On-Time,0
RPY000197,LA04033,BOR07364,1,46625.35,On-Time,0
RPY000198,LA04033,BOR07364,2,46625.35,On-Time,0
RPY000199,LA04033,BOR07364,3,46625.35,On-Time,0
RPY000200,LA01470,BOR06209,1,48062.34,On-Time,0
RPY000201,LA01470,BOR06209,2,48062.34,On-Time,0
RPY000202,LA01470,BOR06209,3,48062.34,On-Time,0
RPY000203,LA01470,BOR06209,4,48062.34,On-Time,0
RPY000204,LA01470,BOR06209,5,48062.34,On-Time,0
RPY000205,LA01470,BOR06209,6,48062.34,On-Time,0
RPY000206,LA02152,BOR02308,1,7427.62,On-Time,0
RPY000207,LA02152,BOR02308,2,7427.62,On-Time,0
RPY000208,LA02152,BOR02308,3,7427.62,On-Time,0
RPY000209,LA02152,BOR02308,4,7427.62,On-Time,0
RPY000210,LA02152,BOR02308,5,7427.62,On-Time,0
RPY000211,LA02152,BOR02308,6,7427.62,On-Time,0
RPY000212,LA02152,BOR02308,7,7427.62,On-Time,0
RPY000213,LA02152,BOR02308,8,7427.62,On-Time,0
RPY000214,LA03263,BOR07474,1,57369.26,On-Time,0
RPY000215,LA03263,BOR07474,2,57369.26,On-Time,0
RPY000216,LA03263,BOR07474,3,57369.26,On-Time,0
RPY000217,LA05370,BOR07048,1,17424.06,On-Time,0
RPY000218,LA05370,BOR07048,2,17424.06,On-Time,0
RPY000219,LA05370,BOR07048,3,17424.06,On-Time,0
RPY000220,LA05370,BOR07048,4,17424.06,On-Time,0
RPY000221,LA00741,BOR08475,1,2514.02,On-Time,0
RPY000222,LA00741,BOR08475,2,2514.02,On-Time,0
RPY000223,LA00741,BOR08475,3,2514.02,On-Time,0
RPY000224,LA00741,BOR08475,4,2514.02,On-Time,0
RPY000225,LA00741,BOR08475,5,2514.02,On-Time,0
RPY000226,LA00741,BOR08475,6,2514.02,On-Time,0
RPY000227,LA00741,BOR08475,7,2514.02,Late,29
RPY000228,LA00741,BOR08475,8,2514.02,On-Time,0
RPY000229,LA00741,BOR08475,9,2514.02,On-Time,0
RPY000230,LA00741,BOR08475,10,2514.02,On-Time,0
RPY000231,LA00741,BOR08475,11,2514.02,On-Time,0
RPY000232,LA00741,BOR08475,12,2514.02,On-Time,0
RPY000233,LA01835,BOR03917,1,3064.97,On-Time,0
RPY000234,LA01835,BOR03917,2,3064.97,On-Time,0
RPY000235,LA01835,BOR03917,3,3064.97,On-Time,0
RPY000236,LA01835,BOR03917,4,3064.97,On-Time,0
RPY000237,LA01835,BOR03917,5,3064.97,Late,25
RPY000238,LA01835,BOR03917,6,3064.97,On-Time,0
RPY000239,LA01835,BOR03917,7,3064.97,On-Time,0
RPY000240,LA01835,BOR03917,8,3064.97,On-Time,0
RPY000241,LA06847,BOR06855,1,31409.33,On-Time,0
RPY000242,LA06847,BOR06855,2,31409.33,On-Time,0
RPY000243,LA06847,BOR06855,3,31409.33,On-Time,0
RPY000244,LA06847,BOR06855,4,31409.33,On-Time,0
RPY000245,LA06847,BOR06855,5,31409.33,On-Time,0
RPY000246,LA06847,BOR06855,6,31409.33,On-Time,0
RPY000247,LA06847,BOR06855,7,31409.33,Late,31
RPY000248,LA06847,BOR06855,8,31409.33,Late,27
RPY000249,LA06847,BOR06855,9,31409.33,On-Time,0
RPY000250,LA02127,BOR04037,1,4217.75,On-Time,0
RPY000251,LA02127,BOR04037,2,4217.75,On-Time,0
RPY000252,LA02127,BOR04037,3,4217.75,Late,10
RPY000253,LA02127,BOR04037,4,4217.75,On-Time,0
RPY000254,LA02127,BOR04037,5,4217.75,On-Time,0
RPY000255,LA02127,BOR04037,6,4217.75,On-Time,0
RPY000256,LA02127,BOR04037,7,4217.75,On-Time,0
RPY000257,LA02127,BOR04037,8,4217.75,On-Time,0
RPY000258,LA02127,BOR04037,9,4217.75,On-Time,0
RPY000259,LA02127,BOR04037,10,4217.75,On-Time,0
RPY000260,LA02127,BOR04037,11,4217.75,Late,34
RPY000261,LA02127,BOR04037,12,4217.75,On-Time,0
RPY000262,LA03685,BOR09248,1,22396.21,On-Time,0
RPY000263,LA03685,BOR09248,2,22396.21,On-Time,0
RPY000264,LA03685,BOR09248,3,22396.21,On-Time,0
RPY000265,LA03685,BOR09248,4,22396.21,On-Time,0
RPY000266,LA03685,BOR09248,5,22396.21,Late,7
RPY000267,LA03685,BOR09248,6,22396.21,Late,19
RPY000268,LA03685,BOR09248,7,22396.21,Late,16
RPY000269,LA03685,BOR09248,8,22396.21,On-Time,0
RPY000270,LA03685,BOR09248,9,22396.21,On-Time,0
RPY000271,LA03685,BOR09248,10,22396.21,Late,18
RPY000272,LA03685,BOR09248,11,22396.21,On-Time,0
RPY000273,LA03674,BOR02092,1,13102.82,On-Time,0
RPY000274,LA03674,BOR02092,2,13102.82,On-Time,0
RPY000275,LA03674,BOR02092,3,13102.82,On-Time,0
RPY000276,LA01098,BOR01644,1,62172.06,On-Time,0
RPY000277,LA01098,BOR01644,2,62172.06,On-Time,0
RPY000278,LA01098,BOR01644,3,62172.06,On-Time,0
RPY000279,LA05604,BOR08125,1,11186.0,On-Time,0
RPY000280,LA05604,BOR08125,2,11186.0,On-Time,0
RPY000281,LA05604,BOR08125,3,11186.0,On-Time,0
RPY000282,LA05604,BOR08125,4,11186.0,On-Time,0
RPY000283,LA05604,BOR08125,5,11186.0,Late,60
RPY000284,LA00316,BOR02676,1,52558.53,On-Time,0
RPY000285,LA00316,BOR02676,2,52558.53,On-Time,0
RPY000286,LA00316,BOR02676,3,52558.53,On-Time,0
RPY000287,LA00316,BOR02676,4,52558.53,Late,23
RPY000288,LA00316,BOR02676,5,52558.53,On-Time,0
RPY000289,LA00316,BOR02676,6,52558.53,On-Time,0
RPY000290,LA03409,BOR02592,1,163823.17,On-Time,0
RPY000291,LA03409,BOR02592,2,163823.17,On-Time,0
RPY000292,LA03409,BOR02592,3,163823.17,On-Time,0
RPY000293,LA03409,BOR02592,4,163823.17,On-Time,0
RPY000294,LA03409,BOR02592,5,163823.17,On-Time,0
RPY000295,LA03409,BOR02592,6,163823.17,On-Time,0
RPY000296,LA03409,BOR02592,7,163823.17,On-Time,0
RPY000297,LA03409,BOR02592,8,163823.17,On-Time,0
RPY000298,LA03409,BOR02592,9,163823.17,On-Time,0
RPY000299,LA03409,BOR02592,10,163823.17,On-Time,0
RPY000300,LA00208,BOR09162,1,69382.88,On-Time,0
RPY000301,LA00208,BOR09162,2,69382.88,On-Time,0
RPY000302,LA00208,BOR09162,3,69382.88,On-Time,0
RPY000303,LA00208,BOR09162,4,69382.88,Late,5
RPY000304,LA00208,BOR09162,5,69382.88,On-Time,0
RPY000305,LA00208,BOR09162,6,69382.88,Late,51
RPY000306,LA00208,BOR09162,7,69382.88,On-Time,0
RPY000307,LA00208,BOR09162,8,69382.88,On-Time,0
RPY000308,LA00208,BOR09162,9,69382.88,On-Time,0
RPY000309,LA00208,BOR09162,10,69382.88,On-Time,0
RPY000310,LA00208,BOR09162,11,69382.88,On-Time,0
RPY000311,LA01220,BOR07296,1,59118.57,On-Time,0
RPY000312,LA01220,BOR07296,2,59118.57,On-Time,0
RPY000313,LA01220,BOR07296,3,59118.57,On-Time,0
RPY000314,LA01220,BOR07296,4,59118.57,On-Time,0
RPY000315,LA01220,BOR07296,5,59118.57,On-Time,0
RPY000316,LA01220,BOR07296,6,59118.57,On-Time,0
RPY000317,LA01220,BOR07296,7,59118.57,On-Time,0
RPY000318,LA01220,BOR07296,8,59118.57,On-Time,0
RPY000319,LA01220,BOR07296,9,59118.57,On-Time,0
RPY000320,LA01220,BOR07296,10,59118.57,On-Time,0
RPY000321,LA03291,BOR01894,1,90931.72,On-Time,0
RPY000322,LA03291,BOR01894,2,90931.72,On-Time,0
RPY000323,LA03291,BOR01894,3,90931.72,On-Time,0
RPY000324,LA03291,BOR01894,4,90931.72,On-Time,0
RPY000325,LA03291,BOR01894,5,90931.72,On-Time,0
RPY000326,LA03291,BOR01894,6,90931.72,On-Time,0
RPY000327,LA03291,BOR01894,7,90931.72,On-Time,0
RPY000328,LA03291,BOR01894,8,90931.72,On-Time,0
RPY000329,LA03291,BOR01894,9,90931.72,On-Time,0
RPY000330,LA03291,BOR01894,10,90931.72,On-Time,0
RPY000331,LA03291,BOR01894,11,90931.72,On-Time,0
RPY000332,LA03291,BOR01894,12,90931.72,On-Time,0
RPY000333,LA04744,BOR06165,1,6481.27,On-Time,0
RPY000334,LA04744,BOR06165,2,6481.27,On-Time,0
RPY000335,LA04744,BOR06165,3,6481.27,On-Time,0
RPY000336,LA05026,BOR03880,1,2094.44,On-Time,0
RPY000337,LA05026,BOR03880,2,2094.44,On-Time,0
RPY000338,LA05026,BOR03880,3,2094.44,On-Time,0
RPY000339,LA05026,BOR03880,4,2094.44,On-Time,0
RPY000340,LA05026,BOR03880,5,2094.44,On-Time,0
RPY000341,LA05026,BOR03880,6,2094.44,On-Time,0
RPY000342,LA06812,BOR00355,1,9544.28,On-Time,0
RPY000343,LA06812,BOR00355,2,9544.28,On-Time,0
RPY000344,LA06812,BOR00355,3,9544.28,On-Time,0
RPY000345,LA06812,BOR00355,4,9544.28,On-Time,0
RPY000346,LA06812,BOR00355,5,9544.28,On-Time,0
RPY000347,LA06812,BOR00355,6,9544.28,On-Time,0
RPY000348,LA06812,BOR00355,7,9544.28,On-Time,0
RPY000349,LA06812,BOR00355,8,9544.28,On-Time,0
RPY000350,LA06812,BOR00355,9,9544.28,On-Time,0
RPY000351,LA06812,BOR00355,10,9544.28,On-Time,0
RPY000352,LA00681,BOR07777,1,17305.21,On-Time,0
RPY000353,LA00681,BOR07777,2,17305.21,On-Time,0
RPY000354,LA00681,BOR07777,3,17305.21,On-Time,0
RPY000355,LA00681,BOR07777,4,17305.21,On-Time,0
RPY000356,LA00681,BOR07777,5,17305.21,On-Time,0
RPY000357,LA00681,BOR07777,6,17305.21,On-Time,0
RPY000358,LA00681,BOR07777,7,17305.21,On-Time,0
RPY000359,LA00681,BOR07777,8,17305.21,On-Time,0
RPY000360,LA00681,BOR07777,9,17305.21,On-Time,0
RPY000361,LA00681,BOR07777,10,17305.21,On-Time,0
RPY000362,LA00681,BOR07777,11,17305.21,On-Time,0
RPY000363,LA06542,BOR00631,1,110442.64,On-Time,0
RPY000364,LA06542,BOR00631,2,110442.64,On-Time,0
RPY000365,LA06542,BOR00631,3,110442.64,On-Time,0
RPY000366,LA06542,BOR00631,4,110442.64,On-Time,0
RPY000367,LA06542,BOR00631,5,110442.64,Late,58
RPY000368,LA06542,BOR00631,6,110442.64,On-Time,0
RPY000369,LA06542,BOR00631,7,110442.64,On-Time,0
RPY000370,LA06542,BOR00631,8,110442.64,On-Time,0
RPY000371,LA06542,BOR00631,9,110442.64,On-Time,0
RPY000372,LA06542,BOR00631,10,110442.64,On-Time,0
RPY000373,LA06542,BOR00631,11,110442.64,On-Time,0
RPY000374,LA06542,BOR00631,12,110442.64,On-Time,0
RPY000375,LA00563,BOR03503,1,25356.14,On-Time,0
RPY000376,LA00563,BOR03503,2,25356.14,On-Time,0
RPY000377,LA00563,BOR03503,3,25356.14,On-Time,0
RPY000378,LA00563,BOR03503,4,25356.14,On-Time,0
RPY000379,LA00563,BOR03503,5,25356.14,On-Time,0
RPY000380,LA00563,BOR03503,6,25356.14,On-Time,0
RPY000381,LA00563,BOR03503,7,25356.14,On-Time,0
RPY000382,LA00812,BOR00471,1,26346.72,Late,47
RPY000383,LA00812,BOR00471,2,26346.72,On-Time,0
RPY000384,LA00812,BOR00471,3,26346.72,On-Time,0
RPY000385,LA00812,BOR00471,4,26346.72,On-Time,0
RPY000386,LA00812,BOR00471,5,26346.72,On-Time,0
RPY000387,LA00812,BOR00471,6,26346.72,On-Time,0
RPY000388,LA06869,BOR07841,1,157423.48,On-Time,0
RPY000389,LA06869,BOR07841,2,157423.48,On-Time,0
RPY000390,LA06869,BOR07841,3,157423.48,On-Time,0
RPY000391,LA06869,BOR07841,4,157423.48,On-Time,0
RPY000392,LA06869,BOR07841,5,157423.48,On-Time,0
RPY000393,LA06869,BOR07841,6,157423.48,On-Time,0
RPY000394,LA04879,BOR08842,1,12350.9,On-Time,0
RPY000395,LA04879,BOR08842,2,12350.9,On-Time,0
RPY000396,LA04879,BOR08842,3,12350.9,On-Time,0
RPY000397,LA04879,BOR08842,4,12350.9,On-Time,0
RPY000398,LA04879,BOR08842,5,12350.9,On-Time,0
RPY000399,LA04879,BOR08842,6,12350.9,On-Time,0
RPY000400,LA04879,BOR08842,7,12350.9,On-Time,0
RPY000401,LA02437,BOR01619,1,17347.04,On-Time,0
RPY000402,LA02437,BOR01619,2,17347.04,On-Time,0
RPY000403,LA02437,BOR01619,3,17347.04,On-Time,0
RPY000404,LA05453,BOR02873,1,5104.14,On-Time,0
RPY000405,LA05453,BOR02873,2,5104.14,On-Time,0
RPY000406,LA05453,BOR02873,3,5104.14,On-Time,0
RPY000407,LA05453,BOR02873,4,5104.14,On-Time,0
RPY000408,LA05519,BOR03946,1,23317.19,On-Time,0
RPY000409,LA05519,BOR03946,2,23317.19,On-Time,0
RPY000410,LA05519,BOR03946,3,23317.19,On-Time,0
RPY000411,LA05519,BOR03946,4,23317.19,On-Time,0
RPY000412,LA05519,BOR03946,5,23317.19,On-Time,0
RPY000413,LA05519,BOR03946,6,23317.19,On-Time,0
RPY000414,LA02570,BOR06336,1,5542.83,On-Time,0
RPY000415,LA02570,BOR06336,2,5542.83,On-Time,0
RPY000416,LA02570,BOR06336,3,5542.83,On-Time,0
RPY000417,LA04019,BOR09073,1,122617.21,On-Time,0
RPY000418,LA04019,BOR09073,2,122617.21,On-Time,0
RPY000419,LA04019,BOR09073,3,122617.21,On-Time,0
RPY000420,LA04019,BOR09073,4,122617.21,On-Time,0
RPY000421,LA04019,BOR09073,5,122617.21,On-Time,0
RPY000422,LA04019,BOR09073,6,122617.21,On-Time,0
RPY000423,LA04019,BOR09073,7,122617.21,On-Time,0
RPY000424,LA04019,BOR09073,8,122617.21,On-Time,0
RPY000425,LA04019,BOR09073,9,122617.21,On-Time,0
RPY000426,LA05186,BOR00413,1,9305.64,On-Time,0
RPY000427,LA05186,BOR00413,2,9305.64,On-Time,0
RPY000428,LA05186,BOR00413,3,9305.64,On-Time,0
RPY000429,LA05186,BOR00413,4,9305.64,Late,37
RPY000430,LA00960,BOR03504,1,23023.72,On-Time,0
RPY000431,LA00960,BOR03504,2,23023.72,On-Time,0
RPY000432,LA00960,BOR03504,3,23023.72,On-Time,0
RPY000433,LA00578,BOR03918,1,3364.24,On-Time,0
RPY000434,LA00578,BOR03918,2,3364.24,On-Time,0
RPY000435,LA00578,BOR03918,3,3364.24,On-Time,0
RPY000436,LA00578,BOR03918,4,3364.24,On-Time,0
RPY000437,LA00578,BOR03918,5,3364.24,Late,50
RPY000438,LA00578,BOR03918,6,3364.24,On-Time,0
RPY000439,LA00578,BOR03918,7,3364.24,On-Time,0
RPY000440,LA04728,BOR09136,1,20493.31,On-Time,0
RPY000441,LA04728,BOR09136,2,20493.31,On-Time,0
RPY000442,LA04728,BOR09136,3,20493.31,On-Time,0
RPY000443,LA04728,BOR09136,4,20493.31,Late,45
RPY000444,LA04728,BOR09136,5,20493.31,On-Time,0
RPY000445,LA04728,BOR09136,6,20493.31,On-Time,0
RPY000446,LA04728,BOR09136,7,20493.31,On-Time,0
RPY000447,LA04728,BOR09136,8,20493.31,Late,47
RPY000448,LA04728,BOR09136,9,20493.31,Late,21
RPY000449,LA01240,BOR06244,1,10574.04,On-Time,0
RPY000450,LA01240,BOR06244,2,10574.04,On-Time,0
RPY000451,LA01240,BOR06244,3,10574.04,On-Time,0
RPY000452,LA01240,BOR06244,4,10574.04,On-Time,0
RPY000453,LA01240,BOR06244,5,10574.04,On-Time,0
