account_id,borrower_id,branch,disbursed_amount,emi_amount,account_status
LA00055,BOR03746,Delhi North,101244.37,629.96,Active
LA00056,BOR07585,Surat Branch,630103.12,58809.62,Active
LA00057,BOR05919,Mumbai HQ,248809.96,1161.11,Closed
LA00058,BOR05312,Surat Branch,216131.49,10086.14,Closed
LA00059,BOR04151,Surat Branch,1206655.31,11262.12,NPA
LA00060,BOR05646,Ahmedabad Main,521486.87,9734.42,NPA
LA00061,BOR02454,Ahmedabad Main,304339.69,9468.35,Active
LA00062,BOR01581,Surat Branch,268722.79,1254.04,Closed
LA00063,BOR01203,Mumbai HQ,535609.82,4999.02,NPA
LA00064,BOR08355,Delhi North,1010083.66,31424.82,Active
LA00065,BOR05637,Pune East,1134932.82,15132.44,NPA
LA00066,BOR02946,Delhi North,1573144.33,146826.8,NPA
LA00067,BOR03463,Ahmedabad Main,892039.35,27752.34,Closed
LA00068,BOR02038,Mumbai HQ,316972.56,1972.27,Closed
LA00069,BOR05346,Surat Branch,795125.48,37105.86,Closed
LA00070,BOR09129,Surat Branch,1261209.16,117712.85,Active
LA00071,BOR09139,Ahmedabad Main,211257.16,3943.47,Active
LA00072,BOR01399,Pune East,57117.33,5330.95,Active
LA00073,BOR03593,Delhi North,1884626.46,17589.85,Active
LA00074,BOR04011,Pune East,329781.18,2051.97,Closed
LA00075,BOR08594,Delhi North,1878817.47,58452.1,NPA
LA00076,BOR02538,Mumbai HQ,898538.94,83863.63,Closed
LA00077,BOR07334,Delhi North,1022806.01,31820.63,Active
LA00078,BOR04143,Mumbai HQ,736077.23,4580.04,Closed
LA00079,BOR05595,Ahmedabad Main,1065142.41,33137.76,Active
LA00080,BOR00128,Pune East,510190.99,6802.55,Active
LA00081,BOR08334,Pune East,1063473.54,19851.51,Active
LA00082,BOR00479,Ahmedabad Main,704988.11,65798.89,Active
LA00083,BOR06594,Delhi North,1062883.12,9920.24,Active
LA00084,BOR09327,Mumbai HQ,1034014.72,13786.86,Active
LA00085,BOR04499,Pune East,1538832.61,7181.22,Active
LA00086,BOR05021,Delhi North,1312919.19,122539.12,Active
LA00087,BOR01081,Mumbai HQ,1061587.26,24770.37,Active
LA00088,BOR07415,Mumbai HQ,707505.12,4402.25,Active
LA00089,BOR04986,Ahmedabad Main,876363.31,20448.48,NPA
LA00090,BOR08096,Ahmedabad Main,51725.64,1609.24,NPA
LA00091,BOR07862,Pune East,878553.0,5466.55,Closed
LA00092,BOR03303,Mumbai HQ,427387.45,1994.47,NPA
LA00093,BOR05965,Surat Branch,563443.55,2629.4,Active
LA00094,BOR05107,Delhi North,1564960.1,36515.74,Closed
LA00095,BOR06901,Ahmedabad Main,408156.19,19047.29,Active
LA00096,BOR05623,Delhi North,209055.36,4877.96,Active
LA00097,BOR07171,Ahmedabad Main,1646902.8,7685.55,Closed
LA00098,BOR07036,Mumbai HQ,1792235.32,55758.43,Active
LA00099,BOR05374,Surat Branch,127933.52,2985.12,Active
LA00100,BOR09880,Ahmedabad Main,189636.67,17699.42,Active
LA00101,BOR08618,Ahmedabad Main,831744.39,77629.48,Closed
LA00102,BOR06746,Pune East,1480200.37,19736.0,Active
LA00103,BOR04543,Mumbai HQ,1837839.75,57177.24,Active
LA00104,BOR06791,Mumbai HQ,982877.58,9173.52,Closed
LA00105,BOR01916,Mumbai HQ,1760050.14,16427.13,NPA
LA00106,BOR06694,Delhi North,248471.98,4638.14,Closed
LA00107,BOR08345,Delhi North,230472.73,3072.97,Active
LA00108,BOR06574,Surat Branch,618365.17,8244.87,NPA
LA00109,BOR09344,Delhi North,169765.86,2263.54,Closed
LA00110,BOR04894,Surat Branch,1952483.64,60743.94,Active
LA00111,BOR00030,Mumbai HQ,1182149.98,110334.0,Active
LA00112,BOR02515,Surat Branch,1695324.71,39557.58,Active
LA00113,BOR09841,Pune East,1631953.45,38078.91,NPA
LA00114,BOR06830,Delhi North,1602456.01,7478.13,Active
LA00115,BOR02992,Ahmedabad Main,316628.11,4221.71,Active
LA00116,BOR06084,Pune East,1761568.45,10960.87,Active
LA00117,BOR09693,Mumbai HQ,428874.07,13342.75,NPA
LA00118,BOR00769,Pune East,370839.9,3461.17,Active
LA00119,BOR07301,Pune East,600454.34,3736.16,Closed
LA00120,BOR02959,Ahmedabad Main,1458811.36,45385.24,NPA
LA00121,BOR09126,Surat Branch,927672.59,5772.19,Closed
LA00122,BOR08197,Delhi North,1232181.35,16429.08,Active
LA00123,BOR04552,Surat Branch,1981856.25,61657.75,Active
LA00124,BOR03687,Delhi North,1983978.81,37034.27,NPA
LA00125,BOR04891,Pune East,279975.36,8710.34,Active
LA00126,BOR06058,Ahmedabad Main,1779578.82,83047.01,NPA
LA00127,BOR04376,Pune East,364027.7,3397.59,NPA
LA00128,BOR07042,Pune East,505060.36,6734.14,NPA
LA00129,BOR00098,Surat Branch,147036.86,2744.69,Active
LA00130,BOR01000,Mumbai HQ,1951421.37,91066.33,Active
LA00131,BOR09094,Delhi North,1913591.25,25514.55,NPA
LA00132,BOR03213,Ahmedabad Main,686951.83,4274.37,Active
LA00133,BOR01565,Ahmedabad Main,306477.08,28604.53,Active
LA00134,BOR00856,Pune East,584826.27,10916.76,Active
LA00135,BOR08489,Pune East,1054426.55,24603.29,Closed
LA00136,BOR04019,Pune East,150454.1,2006.05,Active
LA00137,BOR04521,Delhi North,1814050.33,33862.27,Closed
LA00138,BOR00473,Surat Branch,928317.31,28880.98,NPA
LA00139,BOR03117,Mumbai HQ,789001.45,36820.07,NPA
LA00140,BOR03164,Pune East,1615009.71,21533.46,Active
LA00141,BOR07724,Mumbai HQ,1289927.31,12039.32,Active
LA00142,BOR07341,Surat Branch,371762.94,6939.57,Active
LA00143,BOR01563,Surat Branch,1346684.57,12569.06,Closed
LA00144,BOR00815,Ahmedabad Main,421616.7,1967.54,Closed
LA00145,BOR04056,Delhi North,563716.75,26306.78,Active
LA00146,BOR07356,Delhi North,1358025.31,31687.26,Active
LA00147,BOR08477,Pune East,1936292.68,180720.65,Closed
LA00148,BOR05820,Surat Branch,234353.96,7291.01,Closed
LA00149,BOR07380,Mumbai HQ,1321106.29,61651.63,NPA
LA00150,BOR06998,Surat Branch,600217.86,5602.03,Active
LA00151,BOR04419,Delhi North,1245964.54,29072.51,Active
LA00152,BOR06630,Mumbai HQ,1822660.14,34022.99,Closed
LA00153,BOR05585,Surat Branch,1349541.54,31489.3,Active
LA00154,BOR02157,Delhi North,773021.99,3607.44,Active
LA00155,BOR05635,Surat Branch,126819.25,5918.23,Active
LA00156,BOR03438,Surat Branch,1942979.22,45336.18,Active
LA00157,BOR03141,Pune East,838458.52,5217.08,Active
LA00158,BOR01522,Delhi North,1273042.05,59408.63,Closed
LA00159,BOR01782,Pune East,661401.92,4115.39,Active
LA00160,BOR00505,Pune East,1184226.27,15789.68,Active
LA00161,BOR01022,Surat Branch,760803.33,10144.04,Active
LA00162,BOR04857,Mumbai HQ,899176.61,27974.38,Active
LA00163,BOR04043,Surat Branch,1523289.03,35543.41,NPA
LA00164,BOR02086,Pune East,1694879.6,39547.19,Active
LA00165,BOR00211,Surat Branch,1161644.97,21684.04,Active
LA00166,BOR04255,Ahmedabad Main,1272693.68,39594.91,Active
LA00167,BOR01797,Ahmedabad Main,156107.76,971.34,Active
LA00168,BOR04957,Mumbai HQ,1424029.35,26581.88,Active
LA00169,BOR00089,Mumbai HQ,638179.14,59563.39,Active
LA00170,BOR08508,Ahmedabad Main,1186399.13,110730.59,Active
LA00171,BOR00306,Ahmedabad Main,1686794.54,31486.83,Active
LA00172,BOR01736,Ahmedabad Main,1112876.84,6924.57,Closed
LA00173,BOR03302,Pune East,1489533.08,19860.44,Active
LA00174,BOR04421,Mumbai HQ,1912104.25,17846.31,Active
LA00175,BOR04046,Ahmedabad Main,71661.45,955.49,Active
LA00176,BOR03855,Surat Branch,716055.11,9547.4,Active
LA00177,BOR07784,Delhi North,1323264.44,17643.53,Closed
LA00178,BOR04627,Pune East,125255.53,584.53,Active
LA00179,BOR08160,Mumbai HQ,1342481.08,62649.12,NPA
LA00180,BOR04940,Pune East,1748383.35,54394.15,Active
LA00181,BOR03776,Surat Branch,1599785.27,49771.1,NPA
LA00182,BOR05433,Delhi North,1935811.18,60225.24,Active
LA00183,BOR01538,Surat Branch,1065522.9,9944.88,Active
LA00184,BOR03892,Surat Branch,1200306.24,56014.29,Active
LA00185,BOR04615,Ahmedabad Main,1957203.9,91336.18,Active
LA00186,BOR09663,Ahmedabad Main,1086892.9,25360.83,Active
LA00187,BOR00050,Mumbai HQ,520644.3,3239.56,NPA
LA00188,BOR06102,Surat Branch,1528746.68,7134.15,Active
LA00189,BOR06652,Surat Branch,1092817.5,14570.9,Closed
LA00190,BOR03557,Delhi North,190693.03,4449.5,Active
LA00191,BOR01806,Delhi North,1920826.69,179277.16,Closed
LA00192,BOR05343,Surat Branch,875341.95,27232.86,Active
LA00193,BOR01364,Pune East,716371.58,66861.35,Active
LA00194,BOR04052,Surat Branch,1319040.6,41036.82,Active
LA00195,BOR02512,Pune East,1874485.87,11663.47,Closed
LA00196,BOR02075,Mumbai HQ,1480363.31,19738.18,Active
LA00197,BOR09388,Pune East,1362995.43,63606.45,NPA
LA00198,BOR02122,Surat Branch,555275.64,17275.24,Active
LA00199,BOR09805,Delhi North,134995.61,839.97,NPA
LA00200,BOR02396,Surat Branch,1096946.64,34127.23,Closed
LA00201,BOR09877,Pune East,725569.85,22573.28,Active
LA00202,BOR02756,Pune East,1075260.9,10035.77,Closed
LA00203,BOR00866,Mumbai HQ,1583293.08,49258.01,Active
LA00204,BOR03118,Ahmedabad Main,82459.53,513.08,Closed
LA00205,BOR05752,Pune East,260796.09,4868.19,Active
LA00206,BOR04539,Pune East,1699468.66,31723.41,Active
LA00207,BOR09505,Delhi North,813127.82,75891.93,Active
LA00208,BOR09162,Surat Branch,1486775.98,69382.88,NPA
LA00209,BOR01821,Mumbai HQ,831513.36,38803.96,Closed
LA00210,BOR09291,Delhi North,703850.28,6569.27,Active
LA00211,BOR07117,Pune East,398019.76,3714.85,Active
LA00212,BOR06334,Surat Branch,557474.52,2601.55,Closed
LA00213,BOR00367,Ahmedabad Main,1093442.83,6803.64,Active
LA00214,BOR08490,Surat Branch,1519936.91,35465.19,Active
LA00215,BOR01454,Surat Branch,158960.32,741.81,Active
LA00216,BOR06843,Pune East,396666.58,3702.22,Active
LA00217,BOR05073,Delhi North,400647.44,9348.44,NPA
LA00218,BOR07917,Pune East,1999692.71,9331.9,Active
LA00219,BOR09239,Mumbai HQ,533525.51,7113.67,Closed
LA00220,BOR01247,Surat Branch,456971.93,42650.71,Closed
LA00221,BOR05868,Ahmedabad Main,553077.64,2581.03,Closed
LA00222,BOR02056,Ahmedabad Main,1542740.28,47996.36,Active
LA00223,BOR05361,Surat Branch,63941.15,397.86,Active
LA00224,BOR02355,Ahmedabad Main,1876779.33,25023.72,Active
LA00225,BOR00371,Ahmedabad Main,1012480.13,9449.81,Active
LA00226,BOR09864,Delhi North,246602.12,1534.41,Active
LA00227,BOR03990,Pune East,1387942.67,32385.33,Active
LA00228,BOR09975,Pune East,1257290.66,5867.36,Closed
LA00229,BOR05957,Ahmedabad Main,1240106.98,16534.76,Active
LA00230,BOR00766,Pune East,936428.36,29133.33,NPA
LA00231,BOR02860,Delhi North,395252.7,9222.56,Active
LA00232,BOR01511,Delhi North,1126729.39,15023.06,Active
LA00233,BOR04880,Delhi North,708965.86,3308.51,Closed
LA00234,BOR02851,Surat Branch,1601670.2,9965.95,Active
LA00235,BOR02006,Pune East,1752423.05,163559.48,Active
LA00236,BOR04201,Pune East,1359956.48,42309.76,Closed
LA00237,BOR07679,Ahmedabad Main,1942481.06,90649.12,Active
LA00238,BOR04370,Mumbai HQ,1589134.98,29663.85,Active
LA00239,BOR01658,Delhi North,1138317.83,7082.87,Active
LA00240,BOR09334,Delhi North,473601.38,2210.14,Active
LA00241,BOR05877,Ahmedabad Main,664343.07,12401.07,Active
LA00242,BOR09411,Delhi North,1200787.98,7471.57,Active
LA00243,BOR06177,Delhi North,1912257.88,44619.35,NPA
LA00244,BOR05813,Mumbai HQ,136580.48,6373.76,Active
LA00245,BOR07881,Mumbai HQ,179129.12,8359.36,Active
LA00246,BOR00440,Surat Branch,1307728.78,61027.34,Active
LA00247,BOR03146,Surat Branch,824497.25,7695.31,Closed
LA00248,BOR01932,Delhi North,650237.71,8669.84,Active
LA00249,BOR07002,Mumbai HQ,300397.48,9345.7,Closed
LA00250,BOR02418,Delhi North,273729.22,3649.72,Active
LA00251,BOR00342,Delhi North,1930911.99,90109.23,Closed
LA00252,BOR04462,Ahmedabad Main,642228.25,19980.43,Active
LA00253,BOR09628,Pune East,1985419.48,185305.82,Closed
LA00254,BOR01580,Mumbai HQ,487743.59,15174.25,Active
LA00255,BOR02880,Surat Branch,222775.15,6930.78,NPA
LA00256,BOR03039,Pune East,825974.44,77090.95,NPA
LA00257,BOR09124,Ahmedabad Main,435186.16,5802.48,Active
LA00258,BOR06623,Delhi North,366108.12,2278.01,Closed
LA00259,BOR07298,Surat Branch,1093025.2,20403.14,Active
LA00260,BOR04412,Delhi North,1474958.93,45887.61,Closed
LA00261,BOR06683,Surat Branch,1116769.54,104231.82,Active
LA00262,BOR05418,Pune East,424692.77,5662.57,Active
LA00263,BOR01472,Surat Branch,56640.33,5286.43,Active
LA00264,BOR02683,Delhi North,249564.98,1164.64,NPA
LA00265,BOR06007,Delhi North,969843.33,12931.24,NPA
LA00266,BOR01674,Surat Branch,628188.36,11726.18,Active
LA00267,BOR09761,Ahmedabad Main,1262444.99,29457.05,Active
LA00268,BOR05344,Mumbai HQ,1720339.37,10704.33,Active
LA00269,BOR09647,Delhi North,468430.76,10930.05,Active
LA00270,BOR07969,Pune East,338922.66,15816.39,Active
LA00271,BOR08316,Pune East,1106722.41,25823.52,Active
LA00272,BOR06980,Pune East,1256673.02,29322.37,NPA
LA00273,BOR01792,Pune East,355955.51,4746.07,Active
LA00274,BOR05797,Delhi North,279006.43,1736.04,NPA
LA00275,BOR00993,Pune East,1976973.44,12301.17,NPA
LA00276,BOR05928,Mumbai HQ,908142.43,28253.32,NPA
LA00277,BOR01313,Delhi North,392320.54,9154.15,Active
LA00278,BOR00080,Delhi North,1618253.45,75518.49,Active
LA00279,BOR04074,Mumbai HQ,441489.66,5886.53,NPA
LA00280,BOR04969,Ahmedabad Main,71041.17,3315.25,NPA
LA00281,BOR00221,Surat Branch,323025.63,3014.91,Active
LA00282,BOR09194,Mumbai HQ,1493928.12,27886.66,Active
LA00283,BOR04565,Surat Branch,676142.06,12621.32,Active
LA00284,BOR02496,Delhi North,866010.45,16165.53,NPA
LA00285,BOR08742,Surat Branch,581096.41,18078.55,Closed
LA00286,BOR02530,Delhi North,297406.98,13878.99,NPA
LA00287,BOR09184,Delhi North,1999804.66,12443.23,Closed
LA00288,BOR01455,Pune East,1162139.49,15495.19,Active
LA00289,BOR05303,Mumbai HQ,1145207.5,21377.21,Active
LA00290,BOR07319,Ahmedabad Main,1849966.42,86331.77,Closed
LA00291,BOR02282,Ahmedabad Main,579944.23,18042.71,NPA
LA00292,BOR07075,Delhi North,1556079.24,48411.35,Closed
LA00293,BOR04424,Pune East,949763.27,8864.46,NPA
LA00294,BOR01260,Pune East,1577884.98,14726.93,NPA
LA00295,BOR06283,Delhi North,1321413.19,61665.95,Active
LA00296,BOR06787,Delhi North,1811396.31,16906.37,Active
LA00297,BOR04875,Pune East,697208.02,16268.19,Active
LA00298,BOR02904,Delhi North,1196448.78,15952.65,Active
LA00299,BOR07222,Pune East,1400137.35,43559.83,Closed
LA00300,BOR05237,Mumbai HQ,810077.98,75607.28,Closed
LA00301,BOR04179,Surat Branch,317633.38,2964.58,Closed
LA00302,BOR08577,Mumbai HQ,934846.35,8725.23,Active
LA00303,BOR08825,Mumbai HQ,1272686.89,118784.11,Closed
LA00304,BOR09582,Mumbai HQ,1379211.1,8581.76,NPA
LA00305,BOR04490,Ahmedabad Main,128862.24,601.36,Closed
LA00306,BOR06600,Mumbai HQ,1377366.38,42851.4,Active
LA00307,BOR05723,Ahmedabad Main,1205582.38,37507.01,NPA
LA00308,BOR04549,Ahmedabad Main,1560603.12,72828.15,NPA
LA00309,BOR05639,Ahmedabad Main,1291417.67,120532.32,Active
LA00310,BOR09713,Surat Branch,1418270.86,13237.19,Active
LA00311,BOR04515,Delhi North,1265732.33,59067.51,Active
LA00312,BOR07165,Surat Branch,1093552.98,20412.99,Active
LA00313,BOR01838,Delhi North,1568931.84,20919.09,Active
LA00314,BOR06895,Ahmedabad Main,634449.84,5921.53,Active
LA00315,BOR02920,Delhi North,276074.98,8589.0,Active
LA00316,BOR02676,Surat Branch,1126254.24,52558.53,Closed
LA00317,BOR08116,Surat Branch,784579.11,73227.38,Closed
LA00318,BOR04701,Mumbai HQ,1317050.54,40974.91,Active
LA00319,BOR05655,Delhi North,1274260.06,11893.09,Active
LA00320,BOR04261,Mumbai HQ,841145.49,15701.38,NPA
LA00321,BOR00681,Mumbai HQ,1233988.93,38390.77,Active
LA00322,BOR02082,Surat Branch,1596446.6,49667.23,Active
LA00323,BOR08194,Delhi North,789626.52,4913.23,Active
LA00324,BOR02292,Mumbai HQ,496182.99,3087.36,Active
LA00325,BOR06615,Ahmedabad Main,1375229.34,42784.91,NPA
LA00326,BOR06124,Surat Branch,650491.06,20237.5,Active
LA00327,BOR04181,Delhi North,1205701.48,7502.14,Active
LA00328,BOR06492,Ahmedabad Main,322133.35,6013.16,Active
LA00329,BOR03758,Surat Branch,463781.36,21643.13,Closed
LA00330,BOR07653,Delhi North,651209.37,30389.77,Active
LA00331,BOR06297,Mumbai HQ,1969721.01,91920.31,Closed
LA00332,BOR09323,Mumbai HQ,1905164.56,88907.68,Active
LA00333,BOR08090,Delhi North,1271128.19,23727.73,Closed
LA00334,BOR02897,Surat Branch,955794.62,8920.75,Closed
LA00335,BOR02415,Pune East,763651.87,17818.54,NPA
LA00336,BOR05381,Mumbai HQ,334705.53,7809.8,Closed
LA00337,BOR07091,Ahmedabad Main,675025.36,15750.59,Active
LA00338,BOR08600,Pune East,162383.19,3031.15,Active
LA00339,BOR00530,Pune East,142686.15,1331.74,Active
LA00340,BOR04611,Surat Branch,243879.65,4552.42,Closed
LA00341,BOR07417,Pune East,301277.87,14059.63,Active
LA00342,BOR01353,Surat Branch,1942491.0,36259.83,Active
LA00343,BOR08725,Ahmedabad Main,1171313.75,21864.52,Active
LA00344,BOR03069,Pune East,810593.99,18913.86,Active
LA00345,BOR04447,Pune East,782879.31,24356.25,Active
LA00346,BOR08838,Mumbai HQ,1026891.68,4792.16,Active
LA00347,BOR03802,Surat Branch,216421.7,2019.94,Active
LA00348,BOR02420,Mumbai HQ,1276847.06,59586.2,Active
LA00349,BOR07051,Mumbai HQ,1533671.91,47714.24,Active
LA00350,BOR00909,Pune East,1826529.47,8523.8,Active
LA00351,BOR01899,Mumbai HQ,254514.56,11877.35,Active
LA00352,BOR00056,Mumbai HQ,1821583.54,17001.45,Active
LA00353,BOR04890,Delhi North,1829877.46,17078.86,Active
LA00354,BOR01805,Delhi North,1730934.5,32310.78,NPA
LA00355,BOR09469,Pune East,272522.31,1695.69,Active
LA00356,BOR03327,Mumbai HQ,1160623.12,108324.82,NPA
LA00357,BOR05309,Surat Branch,1589155.39,148321.17,Active
LA00358,BOR06899,Surat Branch,1621035.0,30259.32,Active
LA00359,BOR09546,Surat Branch,58632.38,1824.12,NPA
LA00360,BOR04695,Mumbai HQ,1156118.87,5395.22,Active
LA00361,BOR07190,Pune East,269612.3,6290.95,NPA
LA00362,BOR05422,Mumbai HQ,509025.38,3167.27,Closed
LA00363,BOR05469,Mumbai HQ,324277.7,30265.92,Active
LA00364,BOR01250,Ahmedabad Main,619874.81,5785.5,Active
LA00365,BOR08676,Ahmedabad Main,1790542.4,41779.32,Active
LA00366,BOR02291,Pune East,1705956.01,10614.84,Closed
LA00367,BOR08236,Pune East,1237930.99,7702.68,Active
LA00368,BOR06723,Pune East,1064745.75,4968.81,Active
LA00369,BOR00564,Pune East,902843.26,16853.07,Active
LA00370,BOR03788,Mumbai HQ,623506.97,29096.99,Active
LA00371,BOR08766,Surat Branch,114237.3,3554.05,Closed
LA00372,BOR08456,Mumbai HQ,283162.45,5285.7,Active
LA00373,BOR07145,Surat Branch,736732.9,17190.43,Active
LA00374,BOR08068,Surat Branch,89502.87,4176.8,Active
LA00375,BOR08992,Ahmedabad Main,1499837.74,27996.97,NPA
LA00376,BOR06706,Delhi North,1231816.06,5748.47,Active
LA00377,BOR00892,Mumbai HQ,1819948.23,8493.09,Closed
LA00378,BOR01594,Surat Branch,226177.77,4221.99,Active
LA00379,BOR03195,Mumbai HQ,1923744.17,59849.82,Active
LA00380,BOR02007,Ahmedabad Main,1985215.17,46321.69,Closed
LA00381,BOR08656,Ahmedabad Main,113398.37,2116.77,Closed
LA00382,BOR09987,Mumbai HQ,975207.94,91019.41,Closed
LA00383,BOR05255,Pune East,321828.09,4291.04,Closed
LA00384,BOR02730,Mumbai HQ,663437.95,8845.84,Active
LA00385,BOR08889,Surat Branch,1765122.58,10982.98,NPA
LA00386,BOR01283,Pune East,78922.7,368.31,Active
LA00387,BOR06990,Pune East,786409.44,7339.82,NPA
LA00388,BOR08931,Surat Branch,847203.02,7907.23,NPA
LA00389,BOR07706,Surat Branch,714288.76,9523.85,Active
LA00390,BOR06275,Ahmedabad Main,93149.65,1738.79,Active
LA00391,BOR00822,Delhi North,949503.76,88620.35,Closed
LA00392,BOR00276,Ahmedabad Main,968022.7,18069.76,Active
LA00393,BOR03422,Delhi North,233580.35,7266.94,NPA
LA00394,BOR04673,Pune East,325125.37,10115.01,Active
LA00395,BOR02862,Pune East,712091.23,13292.37,Closed
LA00396,BOR01133,Pune East,227426.01,3032.35,Active
LA00397,BOR08810,Delhi North,1643983.71,21919.78,NPA
LA00398,BOR05484,Pune East,1764727.09,10980.52,Active
LA00399,BOR04334,Pune East,1179477.57,15726.37,Active
LA00400,BOR05154,Delhi North,1145588.5,35640.53,NPA
LA00401,BOR05803,Ahmedabad Main,1969555.82,12255.01,NPA
LA00402,BOR08754,Surat Branch,903561.98,42166.23,Active
LA00403,BOR02622,Pune East,1296337.84,24198.31,Active
LA00404,BOR06105,Mumbai HQ,632154.49,19667.03,Active
LA00405,BOR07639,Surat Branch,1429925.16,44486.56,Active
LA00406,BOR01023,Mumbai HQ,1431290.14,19083.87,Active
LA00407,BOR03221,Pune East,906425.26,5639.98,Active
LA00408,BOR07113,Delhi North,877953.34,20485.58,Active
LA00409,BOR02354,Ahmedabad Main,1745141.98,40719.98,Closed
LA00410,BOR07140,Delhi North,827293.33,38607.02,Active
LA00411,BOR02314,Delhi North,1712794.1,22837.25,Closed
LA00412,BOR03810,Delhi North,551878.59,25754.33,Active
LA00413,BOR07674,Delhi North,678367.16,63314.27,Active
LA00414,BOR04856,Surat Branch,640400.09,3984.71,Active
LA00415,BOR01318,Surat Branch,1163534.26,54298.27,Active
LA00416,BOR05404,Ahmedabad Main,1845848.71,34455.84,Active
LA00417,BOR03180,Pune East,1217312.1,113615.8,Active
LA00418,BOR00968,Surat Branch,398650.58,7441.48,Active
LA00419,BOR04496,Ahmedabad Main,1738919.46,162299.15,Active
LA00420,BOR05913,Mumbai HQ,531477.68,24802.29,Active
LA00421,BOR07428,Surat Branch,130222.65,12154.11,NPA
LA00422,BOR08704,Mumbai HQ,1452170.4,9035.73,Active
LA00423,BOR09851,Ahmedabad Main,414180.59,19328.43,NPA
LA00424,BOR04923,Mumbai HQ,1335866.05,24936.17,NPA
LA00425,BOR05347,Pune East,867842.38,4049.93,Active
LA00426,BOR08278,Mumbai HQ,705751.46,4391.34,Closed
LA00427,BOR07423,Surat Branch,516838.97,4823.83,Closed
LA00428,BOR08094,Delhi North,1851969.16,11523.36,Closed
LA00429,BOR05090,Surat Branch,1845796.35,86137.16,Active
LA00430,BOR09624,Delhi North,769864.79,35927.02,Active
LA00431,BOR03301,Delhi North,554086.03,10342.94,NPA
LA00432,BOR00258,Delhi North,805677.88,7519.66,Active
LA00433,BOR05755,Surat Branch,1810264.57,24136.86,Active
LA00434,BOR05196,Mumbai HQ,829327.63,77403.91,Active
