borrower_id,age,monthly_income,employment_type,credit_score,dti_ratio,loan_amount,loan_purpose,city,previous_default,risk_score,risk_tier,is_default
BOR00031,53,38577.05,Salaried,663,0.05,420653.61,Home,Delhi,0,20,LOW,0
BOR00032,63,28193.1,Salaried,572,0.33,653105.09,Personal,Mumbai,0,48,HIGH,0
BOR00033,32,73589.89,Business Owner,802,0.2,1675764.08,Education,Bengaluru,0,8,LOW,0
BOR00034,34,47287.2,Government Employee,770,0.12,603383.49,Medical,Mumbai,0,0,LOW,0
BOR00035,36,58736.58,Government Employee,621,0.55,858159.97,Medical,Surat,0,42,MEDIUM,0
BOR00036,27,58729.52,Government Employee,818,0.38,1618014.22,Medical,Jaipur,0,10,LOW,0
BOR00037,63,48150.51,Business Owner,820,0.63,1639262.69,Business,Mumbai,0,30,MEDIUM,0
BOR00038,36,15000.0,Business Owner,753,0.21,585465.02,Home,Pune,0,10,LOW,0
BOR00039,65,51201.47,Self-Employed,653,0.38,858992.4,Education,Jaipur,1,47,HIGH,0
BOR00040,22,51322.29,Government Employee,501,0.65,1888346.23,Education,Bengaluru,1,77,HIGH,0
BOR00041,52,43921.71,Self-Employed,712,0.52,997001.89,Personal,Jaipur,0,30,MEDIUM,0
BOR00042,55,102636.31,Salaried,633,0.5,1150564.37,Home,Mumbai,0,30,MEDIUM,0
BOR00043,50,32720.37,Business Owner,634,0.63,592600.4,Personal,Bengaluru,0,42,MEDIUM,0
BOR00044,25,77474.26,Salaried,709,0.22,438753.33,Home,Pune,0,0,LOW,0
BOR00045,44,37613.56,Self-Employed,726,0.7,1931205.51,Home,Surat,0,22,MEDIUM,1
BOR00046,65,51458.9,Self-Employed,767,0.61,1708071.82,Business,Delhi,0,22,MEDIUM,1
BOR00047,62,34508.93,Business Owner,650,0.72,1653545.29,Home,Bengaluru,0,42,MEDIUM,0
BOR00048,62,40293.52,Business Owner,548,0.28,899370.26,Medical,Delhi,0,38,MEDIUM,0
BOR00049,57,56843.67,Government Employee,703,0.39,1013897.68,Education,Delhi,1,35,MEDIUM,0
BOR00050,38,49146.29,Salaried,658,0.44,520644.3,Personal,Bengaluru,0,22,MEDIUM,0
BOR00051,26,24156.64,Business Owner,642,0.38,1398984.95,Education,Surat,1,65,HIGH,0
BOR00052,65,41301.03,Government Employee,607,0.27,540237.17,Home,Jaipur,0,12,LOW,0
BOR00053,51,45222.82,Business Owner,716,0.3,1673625.31,Education,Bengaluru,0,0,LOW,0
BOR00054,24,125881.08,Business Owner,695,0.38,250045.91,Home,Mumbai,0,30,MEDIUM,0
BOR00055,51,55757.95,Salaried,673,0.16,1008905.79,Business,Ahmedabad,0,20,LOW,0
BOR00056,47,18781.25,Self-Employed,677,0.26,1821583.54,Education,Pune,0,30,MEDIUM,0
BOR00057,34,50519.52,Self-Employed,900,0.1,356261.33,Vehicle,Surat,0,0,LOW,0
BOR00058,35,44525.6,Business Owner,707,0.6,188800.53,Vehicle,Bengaluru,0,30,MEDIUM,0
BOR00059,55,48177.34,Self-Employed,574,0.17,1661930.76,Home,Bengaluru,0,30,MEDIUM,0
BOR00060,50,86804.3,Business Owner,747,0.11,1025920.75,Personal,Bengaluru,0,0,LOW,0
BOR00061,35,72803.26,Salaried,598,0.41,128451.76,Vehicle,Mumbai,0,48,HIGH,0
BOR00062,52,98853.79,Salaried,553,0.65,846278.78,Education,Bengaluru,0,52,HIGH,0
BOR00063,56,65737.75,Salaried,877,0.73,663308.46,Education,Jaipur,1,47,HIGH,0
BOR00064,24,29873.64,Self-Employed,629,0.58,1525064.15,Medical,Pune,0,52,HIGH,0
BOR00065,65,51525.17,Government Employee,634,0.55,1947636.29,Business,Ahmedabad,0,34,MEDIUM,0
BOR00066,28,22576.58,Government Employee,686,0.41,1021832.23,Medical,Jaipur,0,32,MEDIUM,0
BOR00067,56,28820.67,Self-Employed,722,0.65,1847642.89,Business,Delhi,1,57,HIGH,1
BOR00068,21,30954.94,Business Owner,819,0.66,1180850.6,Medical,Surat,1,55,HIGH,0
BOR00069,45,33135.93,Government Employee,651,0.21,1962510.53,Vehicle,Delhi,0,12,LOW,0
BOR00070,63,73626.38,Self-Employed,569,0.66,296180.23,Business,Pune,0,52,HIGH,0
BOR00071,47,54925.33,Self-Employed,797,0.49,1573974.32,Education,Jaipur,1,43,MEDIUM,0
BOR00072,41,21944.21,Government Employee,696,0.75,183420.46,Medical,Surat,0,52,HIGH,0
BOR00073,65,55823.01,Business Owner,750,0.3,682530.6,Home,Mumbai,1,25,MEDIUM,0
BOR00074,32,26410.7,Self-Employed,561,0.4,1238508.98,Personal,Mumbai,0,50,HIGH,0
BOR00075,63,63638.3,Salaried,706,0.36,1371341.23,Vehicle,Delhi,0,10,LOW,0
BOR00076,50,55561.54,Business Owner,711,0.32,1714004.14,Home,Delhi,0,8,LOW,1
BOR00077,63,34891.12,Government Employee,700,0.69,1153561.58,Medical,Jaipur,0,22,MEDIUM,0
BOR00078,35,56757.11,Business Owner,615,0.49,1260737.77,Medical,Delhi,0,22,MEDIUM,0
BOR00079,29,124602.91,Salaried,722,0.14,1507587.69,Vehicle,Pune,0,0,LOW,0
BOR00080,37,27020.42,Government Employee,739,0.15,1618253.45,Personal,Jaipur,0,10,LOW,0
BOR00081,46,30111.4,Salaried,750,0.46,290998.04,Education,Ahmedabad,0,18,LOW,1
BOR00082,56,87491.58,Business Owner,606,0.5,1289037.65,Personal,Ahmedabad,0,22,MEDIUM,0
BOR00083,28,79355.11,Salaried,717,0.52,314544.89,Personal,Surat,0,30,MEDIUM,0
BOR00084,62,73941.54,Salaried,850,0.53,845825.98,Education,Surat,0,30,MEDIUM,1
BOR00085,64,43360.58,Business Owner,612,0.71,826372.3,Vehicle,Bengaluru,1,59,HIGH,0
BOR00086,24,31421.35,Business Owner,606,0.63,1584607.29,Vehicle,Pune,0,34,MEDIUM,0
BOR00087,30,47166.97,Salaried,710,0.61,1975678.24,Business,Mumbai,0,27,MEDIUM,0
BOR00088,22,56294.12,Self-Employed,754,0.13,297179.16,Personal,Surat,1,25,MEDIUM,0
BOR00089,49,49340.52,Self-Employed,810,0.09,638179.14,Medical,Surat,0,8,LOW,0
BOR00090,49,42944.83,Salaried,900,0.24,1236179.98,Home,Pune,0,0,LOW,0
BOR00091,54,67025.85,Business Owner,602,0.65,1230582.24,Home,Bengaluru,0,42,MEDIUM,0
BOR00092,35,28697.17,Government Employee,723,0.27,827523.86,Medical,Delhi,0,18,LOW,1
BOR00093,26,43838.54,Salaried,744,0.44,1501948.49,Education,Pune,0,10,LOW,0
BOR00094,63,62107.3,Government Employee,673,0.45,1220799.68,Education,Bengaluru,0,22,MEDIUM,0
BOR00095,56,32099.74,Business Owner,543,0.73,1169495.01,Personal,Bengaluru,0,52,HIGH,0
BOR00096,63,39212.17,Business Owner,757,0.3,582877.26,Education,Pune,0,0,LOW,0
BOR00097,61,54559.49,Salaried,567,0.29,469509.12,Personal,Bengaluru,1,63,HIGH,0
BOR00098,24,53454.73,Self-Employed,714,0.36,147036.86,Home,Pune,0,18,LOW,0
BOR00099,53,31510.35,Salaried,693,0.42,266235.06,Medical,Mumbai,1,55,HIGH,1
BOR00100,34,50468.48,Business Owner,577,0.13,1540113.75,Education,Mumbai,1,55,HIGH,0
BOR00101,53,58623.66,Business Owner,730,0.06,1730440.51,Home,Pune,0,8,LOW,0
BOR00102,47,84248.46,Business Owner,774,0.61,90670.29,Education,Jaipur,0,30,MEDIUM,1
BOR00103,27,24616.33,Self-Employed,595,0.66,830877.14,Home,Mumbai,0,70,HIGH,1
BOR00104,61,63418.93,Salaried,726,0.22,734644.48,Medical,Mumbai,0,0,LOW,0
BOR00105,62,63419.32,Salaried,900,0.53,954708.48,Business,Delhi,0,30,MEDIUM,1
BOR00106,25,65215.03,Government Employee,782,0.3,1602842.87,Business,Surat,0,0,LOW,0
BOR00107,39,78984.02,Salaried,738,0.46,1208455.65,Personal,Surat,1,43,MEDIUM,0
BOR00108,41,41871.7,Government Employee,748,0.4,928520.06,Education,Mumbai,0,10,LOW,0
BOR00109,60,33309.15,Self-Employed,658,0.59,1839976.74,Personal,Ahmedabad,0,34,MEDIUM,1
BOR00110,27,38457.85,Government Employee,687,0.28,1461280.63,Medical,Delhi,0,12,LOW,0
BOR00111,26,155956.01,Business Owner,511,0.12,1635710.33,Medical,Pune,0,30,MEDIUM,0
BOR00112,34,69087.57,Business Owner,534,0.1,491758.94,Vehicle,Jaipur,1,55,HIGH,1
BOR00113,42,38717.0,Self-Employed,778,0.55,366382.06,Medical,Delhi,0,22,MEDIUM,0
BOR00114,60,50621.92,Business Owner,583,0.68,1091321.74,Education,Bengaluru,0,52,HIGH,0
BOR00115,39,34281.05,Government Employee,741,0.66,1642937.92,Business,Jaipur,0,22,MEDIUM,0
BOR00116,54,34023.84,Salaried,699,0.68,1538077.82,Education,Ahmedabad,0,34,MEDIUM,0
BOR00117,43,50150.61,Salaried,621,0.32,823085.23,Education,Mumbai,0,17,LOW,0
BOR00118,62,143196.35,Business Owner,737,0.58,124691.22,Personal,Pune,0,27,MEDIUM,1
BOR00119,34,17808.46,Self-Employed,696,0.14,1563536.63,Vehicle,Bengaluru,0,22,MEDIUM,1
BOR00120,52,35210.75,Salaried,756,0.22,617980.38,Home,Bengaluru,1,25,MEDIUM,0
BOR00121,25,32982.74,Salaried,669,0.23,134892.13,Personal,Jaipur,0,20,LOW,0
BOR00122,61,63101.11,Salaried,757,0.62,136454.59,Business,Bengaluru,0,22,MEDIUM,0
BOR00123,25,26899.2,Government Employee,649,0.27,443102.44,Vehicle,Surat,1,47,HIGH,0
BOR00124,23,38658.71,Self-Employed,621,0.24,1731170.13,Home,Surat,0,12,LOW,0
BOR00125,32,118506.98,Government Employee,716,0.61,1852405.41,Business,Ahmedabad,0,22,MEDIUM,0
BOR00126,41,26096.54,Salaried,762,0.47,1338792.48,Education,Bengaluru,0,20,LOW,1
BOR00127,43,141644.84,Government Employee,772,0.3,196330.27,Medical,Ahmedabad,1,25,MEDIUM,0
BOR00128,49,22932.61,Salaried,636,0.3,510190.99,Medical,Pune,0,22,MEDIUM,0
BOR00129,44,92360.58,Government Employee,616,0.27,318505.46,Education,Ahmedabad,0,25,MEDIUM,0
BOR00130,45,61200.44,Salaried,749,0.54,1422873.73,Vehicle,Ahmedabad,0,22,MEDIUM,0
BOR00131,49,30838.98,Salaried,674,0.25,1433603.95,Business,Bengaluru,0,12,LOW,0
BOR00132,53,15000.0,Self-Employed,587,0.07,1594528.06,Vehicle,Delhi,1,65,HIGH,1
BOR00133,26,43205.19,Salaried,567,0.42,1999210.34,Medical,Ahmedabad,0,48,HIGH,0
BOR00134,49,110880.2,Government Employee,551,0.59,1762022.3,Business,Pune,0,52,HIGH,0
BOR00135,54,39339.24,Self-Employed,691,0.29,365835.57,Medical,Jaipur,0,12,LOW,0
BOR00136,56,100774.1,Business Owner,550,0.5,1248135.14,Home,Mumbai,1,65,HIGH,0
BOR00137,59,87691.64,Business Owner,680,0.51,208384.57,Medical,Pune,0,34,MEDIUM,0
BOR00138,55,30008.79,Business Owner,721,0.26,527511.93,Medical,Mumbai,0,8,LOW,0
BOR00139,42,54150.9,Self-Employed,625,0.14,1481689.52,Education,Pune,0,12,LOW,0
BOR00140,38,50761.88,Government Employee,645,0.65,238782.72,Education,Jaipur,0,34,MEDIUM,0
BOR00141,41,51883.63,Self-Employed,739,0.67,1992140.35,Personal,Ahmedabad,1,55,HIGH,0
BOR00142,36,108337.69,Self-Employed,568,0.25,148553.79,Personal,Surat,0,30,MEDIUM,0
BOR00143,46,142417.29,Business Owner,504,0.3,149757.49,Business,Surat,1,63,HIGH,1
BOR00144,60,45438.16,Salaried,732,0.71,818112.24,Education,Pune,1,47,HIGH,1
BOR00145,23,56415.31,Self-Employed,623,0.15,1062698.79,Vehicle,Mumbai,1,45,MEDIUM,0
BOR00146,40,44176.09,Business Owner,635,0.28,634591.6,Home,Pune,0,20,LOW,0
BOR00147,37,36509.13,Self-Employed,756,0.15,986875.13,Business,Ahmedabad,0,8,LOW,0
BOR00148,49,58601.04,Business Owner,617,0.4,855272.21,Vehicle,Jaipur,0,22,MEDIUM,0
BOR00149,54,76864.54,Self-Employed,707,0.37,1074680.45,Education,Pune,0,18,LOW,0
BOR00150,33,73602.26,Self-Employed,736,0.54,632073.36,Education,Delhi,1,55,HIGH,0
BOR00151,38,32386.68,Business Owner,629,0.62,1369413.38,Personal,Ahmedabad,0,42,MEDIUM,0
BOR00152,49,71228.39,Business Owner,734,0.7,444032.61,Business,Mumbai,1,47,HIGH,1
BOR00153,24,48511.16,Self-Employed,690,0.12,245386.02,Education,Pune,0,12,LOW,0
BOR00154,51,92858.53,Government Employee,626,0.69,676277.02,Medical,Mumbai,0,34,MEDIUM,0
BOR00155,32,64443.79,Government Employee,661,0.18,1994485.02,Personal,Ahmedabad,1,42,MEDIUM,0
BOR00156,42,43965.45,Business Owner,778,0.38,1072421.14,Vehicle,Delhi,0,18,LOW,0
BOR00157,32,74065.73,Salaried,753,0.48,1157173.38,Vehicle,Jaipur,0,10,LOW,0
BOR00158,63,94158.93,Salaried,681,0.23,981035.49,Vehicle,Jaipur,0,12,LOW,0
BOR00159,57,68938.94,Salaried,652,0.38,1400898.75,Home,Bengaluru,0,22,MEDIUM,0
BOR00160,61,57646.41,Business Owner,668,0.16,480656.02,Vehicle,Delhi,1,45,MEDIUM,0
BOR00161,55,51456.8,Self-Employed,733,0.36,1752613.36,Home,Ahmedabad,0,18,LOW,1
BOR00162,56,32561.62,Self-Employed,868,0.13,689829.39,Business,Surat,1,25,MEDIUM,0
BOR00163,24,29643.3,Government Employee,570,0.44,860077.92,Business,Bengaluru,0,63,HIGH,0
BOR00164,34,87470.37,Salaried,751,0.75,721831.29,Home,Ahmedabad,0,30,MEDIUM,0
BOR00165,62,66974.01,Government Employee,736,0.11,924647.41,Personal,Mumbai,0,8,LOW,0
BOR00166,55,48721.54,Government Employee,599,0.37,1677902.14,Home,Surat,0,40,MEDIUM,0
BOR00167,43,50914.46,Self-Employed,619,0.07,1877950.2,Medical,Pune,0,12,LOW,0
BOR00168,25,79822.43,Salaried,666,0.22,1215680.55,Medical,Surat,0,20,LOW,0
BOR00169,24,32443.37,Self-Employed,651,0.45,1640783.2,Medical,Mumbai,0,22,MEDIUM,0
BOR00170,54,60262.53,Self-Employed,629,0.49,586550.14,Business,Surat,0,22,MEDIUM,0
BOR00171,63,32496.57,Government Employee,701,0.18,846105.39,Education,Mumbai,0,8,LOW,0
BOR00172,30,55408.22,Government Employee,634,0.42,854721.1,Personal,Delhi,0,30,MEDIUM,0
BOR00173,44,38734.3,Salaried,700,0.66,573500.1,Medical,Bengaluru,0,22,MEDIUM,0
BOR00174,42,23764.73,Business Owner,553,0.57,1877461.54,Medical,Bengaluru,0,62,HIGH,0
BOR00175,36,34227.27,Business Owner,660,0.27,959188.4,Medical,Surat,0,20,LOW,0
BOR00176,41,57265.51,Self-Employed,812,0.57,857163.83,Business,Pune,1,47,HIGH,0
BOR00177,39,75269.46,Self-Employed,665,0.4,498536.32,Business,Delhi,0,22,MEDIUM,0
BOR00178,62,48556.92,Government Employee,589,0.15,1478905.86,Education,Mumbai,1,55,HIGH,0
BOR00179,24,48569.13,Salaried,654,0.64,1540460.74,Personal,Bengaluru,0,34,MEDIUM,0
BOR00180,44,57604.69,Salaried,605,0.34,80676.95,Business,Bengaluru,0,20,LOW,1
BOR00181,65,63555.78,Government Employee,817,0.22,1840195.25,Business,Delhi,0,0,LOW,0
BOR00182,26,46426.23,Business Owner,716,0.26,1151754.26,Medical,Ahmedabad,0,8,LOW,0
BOR00183,24,69221.86,Salaried,643,0.45,1024723.87,Personal,Ahmedabad,1,47,HIGH,0
BOR00184,23,54832.93,Salaried,681,0.7,1148844.23,Home,Mumbai,0,42,MEDIUM,0
BOR00185,40,51474.31,Self-Employed,610,0.28,1677568.59,Personal,Jaipur,0,20,LOW,0
BOR00186,43,49625.25,Salaried,724,0.47,502680.81,Home,Surat,0,18,LOW,1
BOR00187,38,101272.66,Government Employee,766,0.18,743831.84,Personal,Ahmedabad,0,0,LOW,0
BOR00188,25,143859.33,Salaried,610,0.57,790999.99,Medical,Ahmedabad,0,34,MEDIUM,0
BOR00189,38,75823.25,Salaried,696,0.44,415413.98,Personal,Ahmedabad,1,47,HIGH,1
BOR00190,59,146517.69,Business Owner,607,0.56,619102.34,Personal,Pune,0,34,MEDIUM,0
BOR00191,38,32213.44,Business Owner,626,0.24,334572.9,Vehicle,Jaipur,0,20,LOW,0
BOR00192,61,16950.49,Government Employee,632,0.71,258596.12,Education,Surat,0,52,HIGH,0
BOR00193,48,33537.98,Self-Employed,693,0.39,1226261.97,Medical,Delhi,0,22,MEDIUM,0
BOR00194,36,58155.63,Business Owner,848,0.13,1642164.31,Personal,Pune,0,0,LOW,0
BOR00195,56,78842.85,Salaried,628,0.62,904987.16,Education,Mumbai,0,34,MEDIUM,0
BOR00196,30,31281.83,Government Employee,724,0.46,925680.11,Business,Jaipur,1,35,MEDIUM,1
BOR00197,44,25333.51,Salaried,844,0.5,1332323.21,Education,Bengaluru,0,20,LOW,0
BOR00198,42,88408.2,Government Employee,637,0.57,242282.79,Vehicle,Bengaluru,0,34,MEDIUM,0
BOR00199,50,20815.07,Self-Employed,801,0.69,991403.61,Education,Jaipur,0,32,MEDIUM,0
BOR00200,42,46292.26,Government Employee,791,0.36,991705.7,Personal,Delhi,0,18,LOW,0
BOR00201,28,22087.92,Salaried,626,0.41,1370421.7,Vehicle,Delhi,0,32,MEDIUM,0
BOR00202,46,49149.49,Self-Employed,684,0.36,821385.64,Medical,Ahmedabad,0,30,MEDIUM,0
BOR00203,25,39142.62,Salaried,736,0.23,685670.58,Personal,Bengaluru,0,0,LOW,0
BOR00204,58,28744.16,Salaried,667,0.62,1698759.72,Business,Pune,0,44,MEDIUM,0
BOR00205,36,52059.77,Business Owner,726,0.32,777946.84,Vehicle,Pune,0,0,LOW,0
BOR00206,55,69968.99,Self-Employed,578,0.64,613227.81,Vehicle,Jaipur,0,60,HIGH,0
BOR00207,33,22764.17,Government Employee,794,0.39,1385158.51,Personal,Ahmedabad,0,28,MEDIUM,0
BOR00208,38,57881.73,Self-Employed,612,0.43,1572443.38,Business,Ahmedabad,1,47,HIGH,0
BOR00209,44,106465.47,Salaried,690,0.57,476156.77,Personal,Delhi,0,42,MEDIUM,0
BOR00210,43,88401.89,Salaried,686,0.62,1562481.72,Vehicle,Jaipur,0,34,MEDIUM,0
BOR00211,29,137361.85,Self-Employed,837,0.47,1161644.97,Business,Bengaluru,1,35,MEDIUM,0
BOR00212,53,43283.12,Salaried,767,0.54,1841598.99,Education,Mumbai,0,30,MEDIUM,0
BOR00213,64,67689.61,Government Employee,803,0.31,1175979.78,Education,Surat,0,0,LOW,0
BOR00214,44,30258.68,Government Employee,741,0.56,1184813.31,Medical,Jaipur,1,47,HIGH,0
BOR00215,48,83217.44,Self-Employed,521,0.43,679587.04,Education,Jaipur,0,40,MEDIUM,0
BOR00216,24,27129.33,Salaried,496,0.37,81748.64,Vehicle,Bengaluru,0,58,HIGH,1
BOR00217,38,42842.96,Salaried,744,0.09,210720.03,Medical,Bengaluru,0,0,LOW,0
BOR00218,26,103899.41,Salaried,686,0.41,979773.08,Vehicle,Ahmedabad,0,22,MEDIUM,0
BOR00219,48,110669.97,Self-Employed,555,0.12,496446.39,Home,Mumbai,0,30,MEDIUM,0
BOR00220,64,20916.82,Self-Employed,675,0.36,1148417.87,Business,Bengaluru,0,40,MEDIUM,0
BOR00221,49,59399.0,Self-Employed,677,0.3,323025.63,Home,Jaipur,0,12,LOW,0
BOR00222,36,17435.77,Business Owner,671,0.18,450619.15,Business,Bengaluru,0,22,MEDIUM,0
BOR00223,28,25533.98,Self-Employed,740,0.7,188473.4,Home,Jaipur,0,40,MEDIUM,0
BOR00224,64,58882.49,Self-Employed,595,0.23,82544.33,Home,Jaipur,0,30,MEDIUM,0
BOR00225,53,37913.65,Government Employee,584,0.48,210734.23,Business,Delhi,0,48,HIGH,0
BOR00226,30,47508.34,Business Owner,765,0.27,1286873.78,Medical,Ahmedabad,0,8,LOW,0
BOR00227,60,29945.58,Salaried,725,0.54,282913.86,Medical,Delhi,0,32,MEDIUM,0
BOR00228,29,37604.21,Business Owner,608,0.42,703271.5,Personal,Bengaluru,0,22,MEDIUM,0
BOR00229,24,46466.4,Government Employee,586,0.21,356754.46,Home,Ahmedabad,0,30,MEDIUM,0
BOR00230,51,37166.96,Business Owner,572,0.61,398973.82,Home,Mumbai,0,52,HIGH,0
BOR00231,41,130922.73,Business Owner,683,0.18,776975.93,Business,Surat,0,20,LOW,0
BOR00232,40,34549.12,Business Owner,699,0.25,940655.04,Education,Mumbai,1,45,MEDIUM,0
BOR00233,33,46343.48,Self-Employed,660,0.43,1868175.19,Home,Delhi,0,27,MEDIUM,0
BOR00234,40,66641.54,Salaried,748,0.72,1967075.7,Personal,Ahmedabad,0,30,MEDIUM,0
BOR00235,54,37599.63,Government Employee,628,0.4,1950381.84,Home,Ahmedabad,0,30,MEDIUM,0
BOR00236,29,42722.21,Self-Employed,472,0.27,1709281.73,Personal,Ahmedabad,0,30,MEDIUM,0
BOR00237,58,22980.57,Salaried,803,0.33,370531.21,Personal,Jaipur,0,10,LOW,0
BOR00238,28,111578.52,Salaried,657,0.2,1661454.04,Medical,Ahmedabad,0,12,LOW,0
BOR00239,24,65400.06,Business Owner,708,0.44,110610.08,Personal,Ahmedabad,0,10,LOW,0
BOR00240,24,228534.03,Self-Employed,780,0.46,1656163.16,Education,Ahmedabad,0,10,LOW,0
BOR00241,49,45983.65,Self-Employed,594,0.17,288928.94,Personal,Jaipur,0,30,MEDIUM,1
BOR00242,64,21955.59,Government Employee,698,0.25,468696.41,Vehicle,Pune,0,22,MEDIUM,0
BOR00243,52,33584.66,Government Employee,551,0.34,221057.02,Personal,Mumbai,1,55,HIGH,0
BOR00244,45,35479.61,Business Owner,582,0.28,1573798.46,Education,Ahmedabad,0,38,MEDIUM,1
BOR00245,38,113956.36,Salaried,759,0.73,746994.14,Business,Bengaluru,1,55,HIGH,0
BOR00246,24,48825.78,Self-Employed,813,0.22,1873651.76,Vehicle,Pune,0,5,LOW,0
BOR00247,57,50954.29,Self-Employed,602,0.08,1107142.97,Vehicle,Pune,1,45,MEDIUM,0
BOR00248,42,104983.87,Self-Employed,728,0.07,1448028.38,Education,Jaipur,1,25,MEDIUM,0
BOR00249,25,29184.03,Business Owner,662,0.15,247012.73,Education,Jaipur,0,30,MEDIUM,0
BOR00250,32,31640.43,Business Owner,555,0.56,1638185.76,Personal,Mumbai,1,85,HIGH,1
BOR00251,57,77892.8,Salaried,851,0.5,670522.98,Business,Mumbai,0,18,LOW,0
BOR00252,41,24360.45,Self-Employed,730,0.22,920928.37,Education,Delhi,0,10,LOW,1
BOR00253,49,35407.49,Government Employee,636,0.43,1011509.89,Personal,Jaipur,0,30,MEDIUM,0
BOR00254,25,36453.87,Salaried,602,0.29,671497.97,Home,Bengaluru,0,12,LOW,0
BOR00255,60,50224.63,Government Employee,605,0.16,1887762.4,Vehicle,Mumbai,0,20,LOW,0
BOR00256,55,56118.93,Business Owner,675,0.45,513219.16,Home,Ahmedabad,0,22,MEDIUM,1
BOR00257,63,43500.42,Government Employee,598,0.73,100184.6,Vehicle,Delhi,0,52,HIGH,0
BOR00258,63,36739.74,Business Owner,747,0.31,805677.88,Education,Delhi,0,8,LOW,0
BOR00259,38,62972.83,Salaried,592,0.34,217129.26,Education,Pune,0,30,MEDIUM,0
BOR00260,47,51516.95,Government Employee,747,0.4,632761.61,Personal,Bengaluru,0,18,LOW,0
BOR00261,49,21275.2,Self-Employed,728,0.35,1626498.41,Vehicle,Mumbai,0,10,LOW,0
BOR00262,37,35196.01,Business Owner,731,0.28,806793.35,Personal,Surat,0,0,LOW,0
BOR00263,60,33468.85,Government Employee,517,0.7,341802.52,Business,Jaipur,1,85,HIGH,0
BOR00264,47,21725.21,Business Owner,684,0.17,1165445.32,Personal,Pune,0,30,MEDIUM,1
BOR00265,42,55818.53,Self-Employed,598,0.29,1845628.22,Education,Delhi,0,38,MEDIUM,0
BOR00266,35,67460.41,Self-Employed,530,0.56,1559360.26,Education,Mumbai,0,60,HIGH,0
BOR00267,54,47427.62,Business Owner,571,0.55,1593406.26,Home,Jaipur,1,85,HIGH,1
BOR00268,33,35386.37,Self-Employed,684,0.54,114488.54,Home,Jaipur,0,34,MEDIUM,0
