borrower_id,age,monthly_income,employment_type,years_employed,education,credit_score,existing_loans,loan_amount,loan_purpose,loan_tenure_months,dti_ratio,marital_status,dependents,city,previous_default,application_date,is_default
BOR00085,64,43360.58,Business Owner,6.4,Post Graduate,612,0,826372.3,Vehicle,24,0.71,Married,0,Bengaluru,1,2026-03-31,0
BOR00086,24,31421.35,Business Owner,6.5,Graduate,606,1,1584607.29,Vehicle,24,0.63,Divorced,1,Pune,0,2025-06-15,0
BOR00087,30,47166.97,Salaried,0.4,Post Graduate,710,1,1975678.24,Business,60,0.61,Single,0,Mumbai,0,2026-03-01,0
BOR00088,22,56294.12,Self-Employed,23.3,Post Graduate,754,0,297179.16,Personal,240,0.13,Single,3,Surat,1,2026-05-29,0
BOR00089,49,49340.52,Self-Employed,20.6,High School,810,4,638179.14,Medical,12,0.09,Married,3,Surat,0,2026-04-15,0
BOR00090,49,42944.83,Salaried,21.4,High School,900,2,1236179.98,Home,36,0.24,Divorced,4,Pune,0,2025-10-09,0
BOR00091,54,67025.85,Business Owner,26.0,Doctorate,602,4,1230582.24,Home,24,0.65,Divorced,4,Bengaluru,0,2025-07-21,0
BOR00092,35,28697.17,Government Employee,28.6,Post Graduate,723,3,827523.86,Medical,24,0.27,Married,2,Delhi,0,2024-07-05,1
BOR00093,26,43838.54,Salaried,9.9,Doctorate,744,0,1501948.49,Education,36,0.44,Divorced,4,Pune,0,2025-08-15,0
BOR00094,63,62107.3,Government Employee,14.5,High School,673,2,1220799.68,Education,24,0.45,Single,1,Bengaluru,0,2024-10-21,0
BOR00095,56,32099.74,Business Owner,19.3,High School,543,2,1169495.01,Personal,240,0.73,Divorced,4,Bengaluru,0,2025-05-09,0
BOR00096,63,39212.17,Business Owner,19.7,High School,757,1,582877.26,Education,84,0.3,Single,1,Pune,0,2025-04-23,0
BOR00097,61,54559.49,Salaried,9.7,High School,567,4,469509.12,Personal,180,0.29,Married,2,Bengaluru,1,2025-07-11,0
BOR00098,24,53454.73,Self-Employed,13.3,Graduate,714,4,147036.86,Home,60,0.36,Married,3,Pune,0,2025-07-01,0
BOR00099,53,31510.35,Salaried,11.9,Post Graduate,693,3,266235.06,Medical,180,0.42,Married,0,Mumbai,1,2025-06-13,1
BOR00100,34,50468.48,Business Owner,3.9,Graduate,577,1,1540113.75,Education,84,0.13,Married,3,Mumbai,1,2025-09-07,0
BOR00101,53,58623.66,Business Owner,12.9,High School,730,3,1730440.51,Home,120,0.06,Single,2,Pune,0,2025-09-21,0
BOR00102,47,84248.46,Business Owner,20.7,High School,774,3,90670.29,Education,36,0.61,Divorced,3,Jaipur,0,2025-05-14,1
BOR00103,27,24616.33,Self-Employed,10.0,Doctorate,595,4,830877.14,Home,120,0.66,Divorced,2,Mumbai,0,2024-07-28,1
BOR00104,61,63418.93,Salaried,5.2,Graduate,726,2,734644.48,Medical,36,0.22,Single,2,Mumbai,0,2025-11-27,0
BOR00105,62,63419.32,Salaried,25.9,Graduate,900,3,954708.48,Business,180,0.53,Divorced,4,Delhi,0,2025-03-15,1
BOR00106,25,65215.03,Government Employee,13.6,Doctorate,782,2,1602842.87,Business,12,0.3,Single,2,Surat,0,2025-05-27,0
BOR00107,39,78984.02,Salaried,27.3,High School,738,4,1208455.65,Personal,180,0.46,Divorced,0,Surat,1,2025-09-06,0
BOR00108,41,41871.7,Government Employee,21.2,Graduate,748,0,928520.06,Education,24,0.4,Single,0,Mumbai,0,2025-06-01,0
BOR00109,60,33309.15,Self-Employed,23.7,Post Graduate,658,2,1839976.74,Personal,120,0.59,Divorced,4,Ahmedabad,0,2025-06-15,1
BOR00110,27,38457.85,Government Employee,9.3,Post Graduate,687,2,1461280.63,Medical,36,0.28,Divorced,1,Delhi,0,2025-04-04,0
BOR00111,26,155956.01,Business Owner,10.9,Doctorate,511,2,1635710.33,Medical,240,0.12,Divorced,3,Pune,0,2026-02-02,0
BOR00112,34,69087.57,Business Owner,16.2,Doctorate,534,1,491758.94,Vehicle,36,0.1,Single,4,Jaipur,1,2025-04-23,1
BOR00113,42,38717.0,Self-Employed,20.3,Doctorate,778,1,366382.06,Medical,36,0.55,Single,3,Delhi,0,2024-09-23,0
BOR00114,60,50621.92,Business Owner,28.4,Doctorate,583,1,1091321.74,Education,180,0.68,Single,2,Bengaluru,0,2026-02-20,0
BOR00115,39,34281.05,Government Employee,11.1,Doctorate,741,1,1642937.92,Business,36,0.66,Single,3,Jaipur,0,2025-12-23,0
BOR00116,54,34023.84,Salaried,28.4,Post Graduate,699,0,1538077.82,Education,180,0.68,Single,3,Ahmedabad,0,2025-07-09,0
BOR00117,43,50150.61,Salaried,0.8,Doctorate,621,0,823085.23,Education,48,0.32,Single,2,Mumbai,0,2025-09-18,0
BOR00118,62,143196.35,Business Owner,0.2,Graduate,737,1,124691.22,Personal,36,0.58,Married,3,Pune,0,2026-05-16,1
BOR00119,34,17808.46,Self-Employed,23.8,Doctorate,696,0,1563536.63,Vehicle,60,0.14,Single,3,Bengaluru,0,2024-11-21,1
BOR00120,52,35210.75,Salaried,20.0,Graduate,756,1,617980.38,Home,84,0.22,Married,1,Bengaluru,1,2025-03-17,0
BOR00121,25,32982.74,Salaried,2.0,Doctorate,669,3,134892.13,Personal,84,0.23,Single,2,Jaipur,0,2025-10-28,0
BOR00122,61,63101.11,Salaried,14.4,Post Graduate,757,1,136454.59,Business,84,0.62,Single,3,Bengaluru,0,2025-05-12,0
BOR00123,25,26899.2,Government Employee,29.7,High School,649,2,443102.44,Vehicle,12,0.27,Married,4,Surat,1,2026-01-09,0
BOR00124,23,38658.71,Self-Employed,22.3,Post Graduate,621,2,1731170.13,Home,84,0.24,Married,3,Surat,0,2026-03-28,0
BOR00125,32,118506.98,Government Employee,12.9,Doctorate,716,2,1852405.41,Business,60,0.61,Divorced,3,Ahmedabad,0,2024-07-10,0
BOR00126,41,26096.54,Salaried,13.3,High School,762,2,1338792.48,Education,180,0.47,Married,1,Bengaluru,0,2026-01-23,1
BOR00127,43,141644.84,Government Employee,4.3,Post Graduate,772,0,196330.27,Medical,120,0.3,Divorced,1,Ahmedabad,1,2025-09-28,0
BOR00128,49,22932.61,Salaried,4.6,Graduate,636,0,510190.99,Medical,84,0.3,Divorced,0,Pune,0,2025-05-06,0
BOR00129,44,92360.58,Government Employee,0.8,High School,616,4,318505.46,Education,120,0.27,Married,1,Ahmedabad,0,2024-11-10,0
BOR00130,45,61200.44,Salaried,4.1,Post Graduate,749,2,1422873.73,Vehicle,60,0.54,Married,1,Ahmedabad,0,2025-05-09,0
BOR00131,49,30838.98,Salaried,21.3,Post Graduate,674,2,1433603.95,Business,240,0.25,Married,1,Bengaluru,0,2025-07-09,0
BOR00132,53,15000.0,Self-Employed,14.0,High School,587,1,1594528.06,Vehicle,180,0.07,Divorced,4,Delhi,1,2024-08-11,1
BOR00133,26,43205.19,Salaried,3.8,Post Graduate,567,3,1999210.34,Medical,180,0.42,Married,4,Ahmedabad,0,2025-01-05,0
BOR00134,49,110880.2,Government Employee,27.3,Post Graduate,551,1,1762022.3,Business,36,0.59,Single,3,Pune,0,2025-06-02,0
BOR00135,54,39339.24,Self-Employed,2.4,Post Graduate,691,1,365835.57,Medical,48,0.29,Divorced,2,Jaipur,0,2024-12-26,0
BOR00136,56,100774.1,Business Owner,5.1,Graduate,550,2,1248135.14,Home,240,0.5,Divorced,4,Mumbai,1,2025-02-17,0
BOR00137,59,87691.64,Business Owner,19.2,High School,680,0,208384.57,Medical,60,0.51,Divorced,3,Pune,0,2025-11-28,0
BOR00138,55,30008.79,Business Owner,13.2,Post Graduate,721,3,527511.93,Medical,120,0.26,Single,0,Mumbai,0,2025-03-24,0
BOR00139,42,54150.9,Self-Employed,3.2,Post Graduate,625,2,1481689.52,Education,120,0.14,Married,4,Pune,0,2024-09-08,0
BOR00140,38,50761.88,Government Employee,27.1,Graduate,645,1,238782.72,Education,120,0.65,Married,1,Jaipur,0,2025-10-04,0
BOR00141,41,51883.63,Self-Employed,28.4,Graduate,739,3,1992140.35,Personal,180,0.67,Married,0,Ahmedabad,1,2025-06-27,0
BOR00142,36,108337.69,Self-Employed,4.0,Post Graduate,568,0,148553.79,Personal,180,0.25,Single,0,Surat,0,2026-01-18,0
BOR00143,46,142417.29,Business Owner,15.1,High School,504,3,149757.49,Business,48,0.3,Married,0,Surat,1,2024-12-03,1
BOR00144,60,45438.16,Salaried,15.3,Graduate,732,0,818112.24,Education,240,0.71,Single,1,Pune,1,2026-03-18,1
BOR00145,23,56415.31,Self-Employed,11.8,Post Graduate,623,3,1062698.79,Vehicle,240,0.15,Divorced,2,Mumbai,1,2026-04-19,0
BOR00146,40,44176.09,Business Owner,9.2,Doctorate,635,4,634591.6,Home,84,0.28,Single,3,Pune,0,2026-06-07,0
BOR00147,37,36509.13,Self-Employed,17.2,High School,756,4,986875.13,Business,120,0.15,Divorced,1,Ahmedabad,0,2025-05-15,0
BOR00148,49,58601.04,Business Owner,25.5,Doctorate,617,1,855272.21,Vehicle,120,0.4,Divorced,3,Jaipur,0,2026-06-05,0
BOR00149,54,76864.54,Self-Employed,10.6,Post Graduate,707,3,1074680.45,Education,36,0.37,Divorced,2,Pune,0,2026-05-06,0
BOR00150,33,73602.26,Self-Employed,14.4,Post Graduate,736,4,632073.36,Education,60,0.54,Divorced,3,Delhi,1,2024-08-08,0
BOR00151,38,32386.68,Business Owner,8.6,High School,629,4,1369413.38,Personal,120,0.62,Single,2,Ahmedabad,0,2025-11-29,0
BOR00152,49,71228.39,Business Owner,3.3,Doctorate,734,1,444032.61,Business,60,0.7,Divorced,2,Mumbai,1,2025-08-05,1
BOR00153,24,48511.16,Self-Employed,29.3,Graduate,690,0,245386.02,Education,180,0.12,Single,0,Pune,0,2025-09-01,0
BOR00154,51,92858.53,Government Employee,16.1,Graduate,626,2,676277.02,Medical,12,0.69,Single,4,Mumbai,0,2024-07-04,0
BOR00155,32,64443.79,Government Employee,0.3,Graduate,661,0,1994485.02,Personal,180,0.18,Divorced,2,Ahmedabad,1,2024-08-17,0
BOR00156,42,43965.45,Business Owner,4.9,Doctorate,778,4,1072421.14,Vehicle,240,0.38,Single,0,Delhi,0,2024-10-02,0
BOR00157,32,74065.73,Salaried,12.8,Post Graduate,753,2,1157173.38,Vehicle,36,0.48,Divorced,3,Jaipur,0,2025-07-17,0
BOR00158,63,94158.93,Salaried,8.0,Graduate,681,1,981035.49,Vehicle,12,0.23,Single,3,Jaipur,0,2024-10-10,0
BOR00159,57,68938.94,Salaried,15.1,Post Graduate,652,2,1400898.75,Home,24,0.38,Single,3,Bengaluru,0,2025-05-21,0
BOR00160,61,57646.41,Business Owner,12.5,Post Graduate,668,4,480656.02,Vehicle,180,0.16,Divorced,4,Delhi,1,2024-09-18,0
BOR00161,55,51456.8,Self-Employed,27.5,Graduate,733,4,1752613.36,Home,240,0.36,Divorced,2,Ahmedabad,0,2025-10-15,1
BOR00162,56,32561.62,Self-Employed,2.7,Graduate,868,1,689829.39,Business,180,0.13,Single,4,Surat,1,2025-01-12,0
BOR00163,24,29643.3,Government Employee,0.7,Graduate,570,4,860077.92,Business,12,0.44,Divorced,2,Bengaluru,0,2025-06-25,0
BOR00164,34,87470.37,Salaried,8.6,High School,751,3,721831.29,Home,240,0.75,Single,3,Ahmedabad,0,2024-08-11,0
BOR00165,62,66974.01,Government Employee,19.6,Post Graduate,736,3,924647.41,Personal,120,0.11,Divorced,4,Mumbai,0,2025-06-28,0
BOR00166,55,48721.54,Government Employee,16.0,Graduate,599,1,1677902.14,Home,60,0.37,Divorced,4,Surat,0,2026-01-22,0
BOR00167,43,50914.46,Self-Employed,23.0,Post Graduate,619,1,1877950.2,Medical,24,0.07,Divorced,3,Pune,0,2024-10-25,0
BOR00168,25,79822.43,Salaried,7.0,High School,666,3,1215680.55,Medical,12,0.22,Single,3,Surat,0,2025-05-03,0
BOR00169,24,32443.37,Self-Employed,9.1,Post Graduate,651,1,1640783.2,Medical,84,0.45,Divorced,2,Mumbai,0,2025-08-24,0
BOR00170,54,60262.53,Self-Employed,1.4,Doctorate,629,2,586550.14,Business,36,0.49,Married,4,Surat,0,2025-07-10,0
BOR00171,63,32496.57,Government Employee,25.5,Post Graduate,701,3,846105.39,Education,120,0.18,Divorced,3,Mumbai,0,2025-09-25,0
BOR00172,30,55408.22,Government Employee,6.1,High School,634,4,854721.1,Personal,240,0.42,Married,1,Delhi,0,2025-09-11,0
BOR00173,44,38734.3,Salaried,20.1,Graduate,700,0,573500.1,Medical,12,0.66,Single,4,Bengaluru,0,2024-11-22,0
BOR00174,42,23764.73,Business Owner,18.1,High School,553,1,1877461.54,Medical,24,0.57,Married,1,Bengaluru,0,2024-12-05,0
BOR00175,36,34227.27,Business Owner,14.0,Post Graduate,660,3,959188.4,Medical,84,0.27,Married,4,Surat,0,2025-07-05,0
BOR00176,41,57265.51,Self-Employed,28.0,Post Graduate,812,2,857163.83,Business,48,0.57,Single,2,Pune,1,2026-02-03,0
BOR00177,39,75269.46,Self-Employed,22.9,Graduate,665,2,498536.32,Business,48,0.4,Divorced,2,Delhi,0,2024-12-13,0
BOR00178,62,48556.92,Government Employee,27.5,Doctorate,589,1,1478905.86,Education,36,0.15,Divorced,3,Mumbai,1,2024-07-01,0
BOR00179,24,48569.13,Salaried,4.5,High School,654,0,1540460.74,Personal,36,0.64,Single,0,Bengaluru,0,2025-02-22,0
BOR00180,44,57604.69,Salaried,8.2,Doctorate,605,3,80676.95,Business,240,0.34,Single,4,Bengaluru,0,2024-11-28,1
BOR00181,65,63555.78,Government Employee,24.5,Graduate,817,0,1840195.25,Business,36,0.22,Divorced,4,Delhi,0,2025-09-05,0
BOR00182,26,46426.23,Business Owner,12.2,Doctorate,716,3,1151754.26,Medical,48,0.26,Single,0,Ahmedabad,0,2025-05-03,0
BOR00183,24,69221.86,Salaried,6.9,Graduate,643,0,1024723.87,Personal,84,0.45,Single,4,Ahmedabad,1,2026-05-02,0
BOR00184,23,54832.93,Salaried,17.6,Post Graduate,681,4,1148844.23,Home,36,0.7,Married,0,Mumbai,0,2025-04-03,0
BOR00185,40,51474.31,Self-Employed,29.7,Graduate,610,4,1677568.59,Personal,240,0.28,Divorced,1,Jaipur,0,2026-02-20,0
BOR00186,43,49625.25,Salaried,29.1,High School,724,3,502680.81,Home,84,0.47,Divorced,4,Surat,0,2026-01-10,1
BOR00187,38,101272.66,Government Employee,23.2,Doctorate,766,1,743831.84,Personal,120,0.18,Divorced,3,Ahmedabad,0,2026-06-27,0
BOR00188,25,143859.33,Salaried,2.7,Post Graduate,610,1,790999.99,Medical,36,0.57,Married,2,Ahmedabad,0,2026-05-14,0
BOR00189,38,75823.25,Salaried,2.7,Graduate,696,0,415413.98,Personal,240,0.44,Married,0,Ahmedabad,1,2025-12-12,1
BOR00190,59,146517.69,Business Owner,15.6,Doctorate,607,0,619102.34,Personal,24,0.56,Divorced,1,Pune,0,2025-04-04,0
BOR00191,38,32213.44,Business Owner,2.3,Post Graduate,626,3,334572.9,Vehicle,120,0.24,Married,3,Jaipur,0,2025-03-07,0
BOR00192,61,16950.49,Government Employee,24.1,Graduate,632,3,258596.12,Education,12,0.71,Married,4,Surat,0,2025-01-04,0
BOR00193,48,33537.98,Self-Employed,8.7,Post Graduate,693,2,1226261.97,Medical,48,0.39,Single,3,Delhi,0,2024-08-15,0
BOR00194,36,58155.63,Business Owner,29.9,Doctorate,848,2,1642164.31,Personal,84,0.13,Divorced,1,Pune,0,2025-07-22,0
BOR00195,56,78842.85,Salaried,19.0,Doctorate,628,1,904987.16,Education,24,0.62,Married,3,Mumbai,0,2026-05-31,0
BOR00196,30,31281.83,Government Employee,20.8,Doctorate,724,0,925680.11,Business,180,0.46,Divorced,4,Jaipur,1,2025-05-01,1
BOR00197,44,25333.51,Salaried,20.3,High School,844,1,1332323.21,Education,36,0.5,Single,4,Bengaluru,0,2026-04-10,0
